compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state
CHSP00008023,053981,Glenn Medical Center,1133 W Sycamore St,Willows,CA,95988,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00003415,054144,Langley Porter Psychiatric Hospital,401 Parnassus Ave,San Francisco,CA,94143,0,HSI00001168,UC Health,Oakland,CA
CHSP00003063,054150,Kaiser Permanente Psych Health Facil,3840 Homestead Rd,Santa Clara,CA,95051,0,HSI00000536,Kaiser Permanente,Oakland,CA
CHSP00005884,054152,Telecare Santa Cruz Phf,2250 Soquel Ave,Santa Cruz,CA,95062,0,,,,
CHSP00007882,054155,Bakersfield Behavioral Healthcare Ho,5201 White Ln,Bakersfield,CA,93309,0,HSI00000404,Good Samaritan Hospital,Los Angeles,CA
CHSP00008117,057234,John C Fremont Healthcare District,5189 Hospital Rd,Mariposa,CA,95338,0,,,,
CHSP00008286,058523,Southern Mono Healthcare District,85 Sierra Park Rd,Mammoth Lakes,CA,93546,0,,,,
CHSP00008184,058578,Northern Inyo Healthcare District,150 Pioneer Ln,Bishop,CA,93514,0,,,,
CHSP00008244,05A263,Riverside Behavioral Healthcare Center,4580 Palm Ave,Riverside,CA,92501,0,,,,
CHSP00008272,060127,Scl Health Community Hospital - West,6500 W 104th Ave,Broomfield,CO,80020,1,HSI00000991,SCL Health,Broomfield,CO
CHSP00008347,060128,Uchealth Longs Peak Hospital,1750 E Ken Pratt Blvd,Longmont,CO,80504,1,HSI00001169,University of Colorado Health,Aurora,CO
CHSP00007867,061336,Arkansas Valley Regl Med Ctr,1100 Carson Ave,La Junta,CO,81050,1,,,,
CHSP00008124,061343,Keefe Memorial Health Service District,602 N 6th W St,Cheyenne Wells,CO,80810,0,,,,
CHSP00007931,064027,Clear View Behavioral Health,4770 Larimer Pkwy,Johnstown,CO,80534,0,,,,
CHSP00007998,067144,Estes Park Hospital District,555 Prospect Ave,Estes Park,CO,80517,0,,,,
CHSP00008232,067267,Rangely District Hospital,225 Eagle Crest St,Rangely,CO,81648,0,,,,
CHSP00008141,067277,Lincoln Community Hospital And Nursing Home,111 6th St,Hugo,CO,80821,0,,,,
CHSP00007835,070001,Yale New Haven Hospital Saint Raphael Campus,1450 Chapel St,New Haven,CT,06511,1,HSI00001272,Yale New Haven Health System,New Haven,CT
CHSP00006924,070009,The Hospital Of Central Connecticut,81 Meriden Ave,Southington,CT,06489,1,HSI00000452,Hartford Healthcare Corporation,Hartford,CT
CHSP00004481,070015,New Milford Hospital Inc,21 Elm St,New Milford,CT,06776,1,HSI00001253,Western Connecticut Health Network,Danbury,CT
CHSP00005787,074000,Saint Vincent Medical Center Behavioral Health Services,47 Long Lots Rd,Westport,CT,06880,0,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00000479,080009,Milford Memorial Hospital,21 W Clarke Ave,Milford,DE,19963,1,HSI00000094,Bayhealth,Dover,DE
CHSP00003422,100015,Largo Medical Center Indian Rocks Campus,2025 Indian Rocks Rd S,Largo,FL,33774,1,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00004006,100061,Mercy Hospital,3663 S Miami Ave,Miami,FL,33133,1,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00002947,100114,Jackson North Medical Center,160 Nw 170th St,North Miami Beach,FL,33169,0,HSI00000523,Jackson Health System,Miami,FL
CHSP00003359,10015F,Lake City Veterans Affairs Medical Center,619 S Marion Ave,Lake City,FL,32025,0,,,,
CHSP00004583,100210,North Shore Medical Center Inc,5000 W Oakland Park Blvd,Fort Lauderdale,FL,33313,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00006205,100225,South Broward Hospital District,3600 Washington St,Hollywood,FL,33021,1,HSI00000653,Memorial Healthcare System,Hollywood,FL
CHSP00008196,100329,Oviedo Medical Center,8300 Red Bug Lake Rd,Oviedo,FL,32765,1,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00002000,101312,Fishermens Hospital,3301 Overseas Hwy,Marathon,FL,33050,1,HSI00000075,Baptist Health,Jacksonville,FL
CHSP00007929,101970,Citrus Health Network Inc,4175 W 20th Ave,Hialeah,FL,33012,0,,,,
CHSP00008222,102031,Promise Hospital Of Miami,14001 Nw 82nd Ave,Miami Lakes,FL,33016,0,,,,
CHSP00005128,103030,Pinecrest At Delray Medical Center,5360 Linton Blvd,Delray Beach,FL,33484,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00007910,103446,Campbellton Graceville Hospital,5429 College Dr,Graceville,FL,32440,1,,,,
CHSP00008183,104007,Northeast Florida State Hospital,7487 S State Road 121,Macclenny,FL,32063,0,,,,
CHSP00002349,104032,Gulf Coast Treatment Center,1015 Mar Walt Dr,Fort Walton Beach,FL,32547,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00006295,104049,Southern Winds Health,4225 W 20th Ave,Hialeah,FL,33012,0,,,,
CHSP00000269,104065,Atlantic Shores Hospital,4545 N Federal Hwy,Fort Lauderdale,FL,33308,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00007256,104076,University Behavioral Center,2500 Discovery Dr,Orlando,FL,32826,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00008135,104079,Larkin Community Hospital Behavioral,1201 N 37th Ave,Hollywood,FL,33021,0,,,,
CHSP00008136,104079,Larkin Community Hospital Behavioral,1201 N 37th Ave,Hollywood,FL,33021,0,,,,
CHSP00007942,104080,Coral Shores Behavioral Health,5995 Se Community Dr,Stuart,FL,34997,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00008186,106055,Northwest Florida Health Care Inc,1360 Brickyard Rd,Chipley,FL,32428,1,,,,
CHSP00008005,109802,Florida Hospital For Women,601 E Rollins St,Orlando,FL,32803,1,HSI00000010,Adventist Health System,Altamonte Springs,FL
CHSP00005091,110163,Phoebe Putney Memorial Hospital North Campus,2000 Palmyra Rd,Albany,GA,31701,1,HSI00000823,Phoebe Putney Health Systems,Albany,GA
CHSP00007614,110219,Wellstar Atlanta Medical Center South,1170 Cleveland Ave,East Point,GA,30344,1,HSI00001244,WellStar Health System,Marietta,GA
CHSP00008044,113032,Healthsouth Rehabilitation Hospital,2101 Newnan Crossing Blvd E,Newnan,GA,30265,0,,,,
CHSP00001142,113301,Scottish Rite Childrens Medical Ctr,1001 Johnson Ferry Rd,Atlanta,GA,30342,1,HSI00000209,Childrens Healthcare of Atlanta,Atlanta,GA
CHSP00007933,114015,Coliseum Center For Behavioral Health,340 Hospital Dr,Macon,GA,31217,0,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00006888,114023,The Bradley Center,2000 16th Ave,Columbus,GA,31901,0,HSI00000584,Lifepoint Health,Brentwood,TN
CHSP00008241,114037,Ridgeview Institute Monroe,709 Breedlove Dr,Monroe,GA,30655,0,,,,
CHSP00008130,125003,Kula Hospital,100 Keokea Pl,Kula,HI,96790,0,HSI00000536,Kaiser Permanente,Oakland,CA
CHSP00008134,125023,Lanai Community Hospital,628 7th St,Lanai City,HI,96763,0,HSI00000536,Kaiser Permanente,Oakland,CA
CHSP00008269,125029,Samuel Mahelona Memorial Hospital,4800 Kawaihau Rd,Kapaa,HI,96746,0,HSI00000454,Hawaii Health Systems Corporation,Honolulu,HI
CHSP00008037,125032,Hale Hoola Hamakua,45-547 Plumeria St,Honokaa,HI,96727,0,HSI00000454,Hawaii Health Systems Corporation,Honolulu,HI
CHSP00008178,127019,North Hawaii Community Hospital,67-1125 Mamalahoa Hwy,Kamuela,HI,96743,1,HSI00001087,The Queens Health Systems,Honolulu,HI
CHSP00007912,133993,Cascade Medical Center,402 Lake Cascade Pkwy,Cascade,ID,83611,1,,,,
CHSP00008256,134016,Safe Haven Hospital,1200 Hospital Way,Pocatello,ID,83201,0,,,,
CHSP00008293,135111,State Hospital South,700 E Alice St,Blackfoot,ID,83221,0,,,,
CHSP00008008,137058,Franklin County Medical Center,44 N 1st E,Preston,ID,83263,1,,,,
CHSP00007885,137069,Bear Lake Memorial Hospital,164 S 5th St,Montpelier,ID,83254,1,,,,
CHSP00008192,137077,Oneida County Hospital,150 N 200 W,Malad City,ID,83252,1,,,,
CHSP00004603,140051,Northshore University Health System,9600 Gross Point Rd,Skokie,IL,60076,1,HSI00000756,NorthShore University Health System,Evanston,IL
CHSP00005236,140094,Presence Saints Mary And Elizabeth Medical Center,1431 N Claremont Ave,Chicago,IL,60622,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00005364,142012,Rml Health Providers Lp,3435 W Van Buren St,Chicago,IL,60624,0,HSI00001277,Advocate Aurora Health,Downers Grove,IL
CHSP00008367,143404,Warner Hospital And Health Services,422 W White St,Clinton,IL,61727,0,,,,
CHSP00008267,143413,Salem Township Hospital,1201 Ricker Rd,Salem,IL,62881,0,HSI00000070,BJC Healthcare,Saint Louis,MO
CHSP00008194,143445,Osf Saint Luke Medical Center,1051 W South St,Kewanee,IL,61443,1,HSI00000776,OSF Healthcare System,Peoria,IL
CHSP00008166,143981,Morrison Community Hospital District,303 N Jackson St,Morrison,IL,61270,1,,,,
CHSP00008156,147202,Mason Hospital District,615 N Promenade St,Havana,IL,62644,1,,,,
CHSP00007864,147315,Anna Hospital Corp,517 N Main St,Anna,IL,62906,1,,,,
CHSP00008038,147450,Hammond Henry Hospital,600 N College Ave,Geneseo,IL,61254,0,,,,
CHSP00008235,147486,Red Bud Illinois Company Llc,325 Spring St,Red Bud,IL,62278,1,,,,
CHSP00008003,147612,Fairfield Memorial Hospital,303 Nw 11th St,Fairfield,IL,62837,1,,,,
CHSP00008288,147694,Sparta Community Hospital,818 E Broadway St,Sparta,IL,62286,0,,,,
CHSP00002087,150003,Franciscan Health Lafayette Central,1501 Hartford St,Lafayette,IN,47904,1,HSI00000375,Franciscan Health,Mishawaka,IN
CHSP00007370,15004F,Va Northern Indiana Health Care System Marion Campus,1700 E 38th St,Marion,IN,46953,0,,,,
CHSP00002089,150090,Franciscan Health- Dyer,24 Joliet St,Dyer,IN,46311,1,HSI00000375,Franciscan Health,Mishawaka,IN
CHSP00001361,150154,Community Heart And Vascular Hospital,8075 N Shadeland Ave,Indianapolis,IN,46250,0,HSI00000248,Community Health Network,Indianapolis,IN
CHSP00003236,152018,Kindred Hospital Northern Indiana,215 W 4th St,Mishawaka,IN,46544,0,,,,
CHSP00007937,153043,Community Health Network Rehab Hosp,7343 Clearvista Dr,Indianapolis,IN,46256,0,HSI00000248,Community Health Network,Indianapolis,IN
CHSP00001624,154042,Deaconess Cross Pointe,7200 E Indiana St,Evansville,IN,47715,0,HSI00000305,Deaconess Health System,Evansville,IN
CHSP00008203,154060,Park Center  Inc.,1909 Carew St,Fort Wayne,IN,46805,0,,,,
CHSP00007871,154062,Assurance Health,2725 Enterprise Dr,Anderson,IN,46013,0,,,,
CHSP00007870,154064,Assurance Health Indianapolis,900 N High School Rd,Indianapolis,IN,46214,0,,,,
CHSP00008225,157078,Pulaski Memorial Hospital,616 E 13th St,Winamac,IN,46996,0,,,,
CHSP00007909,157117,Cameron Memorial Community Hospital Inc,416 E Maumee St,Angola,IN,46703,1,,,,
CHSP00008209,157177,Perry County Memorial Hospital,8885 State Road 237,Tell City,IN,47586,0,,,,
CHSP00001435,162002,Continuing Care Hospital At St. Luke,1026 A Ave Ne,Cedar Rapids,IA,52402,0,HSI00000152,Christus Health,Irving,TX
CHSP00008368,162324,Wayne County Hospital,417 S East St,Corydon,IA,50060,0,HSI00000183,Catholic Health Initiatives,Englewood,CO
CHSP00008201,167049,Palo Alto County Health System,3201 1st St,Emmetsburg,IA,50536,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00008363,167119,Veterans Memorial Hospital,40 1st St Se,Waukon,IA,52172,0,,,,
CHSP00007894,167146,Burgess Health Center,1600 Diamond St,Onawa,IA,51040,1,,,,
CHSP00008238,167156,Regional Medical Center,709 W Main St,Manchester,IA,52057,0,,,,
CHSP00008295,167162,Stewart Memorial Community Hospital,1301 W Main St,Lake City,IA,51449,1,HSI00001146,Unitypoint Health,West Des Moines,IA
CHSP00008110,167165,Ida County Iowa Community Hospital,701 E 2nd St,Ida Grove,IA,51445,1,,,,
CHSP00008379,167190,Winneshiek Medical Center,901 Montgomery St,Decorah,IA,52101,1,HSI00000631,Mayo Clinic,Rochester,MN
CHSP00007636,170192,Wesley Woodlawn Hospital And Er,2610 N Woodlawn Blvd,Wichita,KS,67220,1,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00002523,171366,Harper District Hospital,700 W 13th St,Harper,KS,67058,0,,,,
CHSP00008294,173446,Stevens County Hospital,1006 S Jackson St,Hugoton,KS,67951,0,,,,
CHSP00007944,174020,Cottonwood Springs,13351 S Arapaho Dr,Olathe,KS,66062,0,,,,
CHSP00008010,174021,Freedom Behavioral Of Topeka,1334 Sw Buchanan St,Topeka,KS,66604,0,,,,
CHSP00008009,177176,Fredonia Regional Hospital,1527 Madison St,Fredonia,KS,66736,0,,,,
CHSP00007872,177181,Atchison Hospital,800 Ravenhill Dr,Atchison,KS,66002,1,,,,
CHSP00008030,177243,Greenwood County Hospital,100 W 16th St,Eureka,KS,67045,0,,,,
CHSP00008053,177270,Hiawatha Community Hospital,300 Utah St,Hiawatha,KS,66434,1,,,,
CHSP00008246,177272,Rural Health Resources Of Jackson County,1110 Columbine Dr,Holton,KS,66436,1,,,,
CHSP00008334,177282,Trego County Lemke Memorial Hospital,320 N 13th St,Wakeeney,KS,67672,0,,,,
CHSP00008292,177295,Stafford County Hospital,502 S Buckeye St,Stafford,KS,67578,0,,,,
CHSP00008247,17E619,Russell Regional Hospital,200 S Main St,Russell,KS,67665,1,,,,
CHSP00007280,180151,Good Samaritan Hospital,310 S Limestone,Lexington,KY,40508,1,HSI00001174,University of Kentucky Healthcare,Lexington,KY
CHSP00008369,183427,Wayne County Hospital Inc,166 Hospital St,Monticello,KY,42633,0,,,,
CHSP00004601,184006,Northkey Comm Care,502 Farrell Dr,Covington,KY,41011,0,,,,
CHSP00008128,185361,Kindred Hospital Louisville,1313 Saint Anthony Pl,Louisville,KY,40204,0,,,,
CHSP00008336,187159,Trigg County Hospital Inc,254 Main St,Cadiz,KY,42211,0,,,,
CHSP00007916,18G007,Central State Hospital,10510 La Grange Rd,Louisville,KY,40223,0,,,,
CHSP00007975,190003,Dauterive Hospital,600 N Lewis St,New Iberia,LA,70563,1,,,,
CHSP00000049,190078,Acadian Medical Center,3501 Highway 190,Eunice,LA,70535,1,HSI00000584,Lifepoint Health,Brentwood,TN
CHSP00004766,190135,Ochsner Baptist Medical Center,2700 Napoleon Ave,New Orleans,LA,70115,1,HSI00000780,Ochsner Health System,New Orleans,LA
CHSP00004773,190175,Ochsner Medical Complex River Parishes,1900 W Airline Hwy,La Place,LA,70068,1,HSI00000780,Ochsner Health System,New Orleans,LA
CHSP00003389,190177,Lakeview - Nicu    Traditional (Xix),95 Judge Tanner Blvd,Covington,LA,70433,1,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00007085,190182,Tulane Lakeside Hospital,4700 S I 10 Service Rd W,Metairie,LA,70001,1,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00008193,190191,Opelousas General Health System South Campus,3983 I 49 S Service Rd,Opelousas,LA,70570,1,,,,
CHSP00007804,190196,Womens And Childrens Hospital Inc,4600 Ambassador Caffery Pkwy,Lafayette,LA,70508,1,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00008389,190205,Womens And Childrens Hospital,2810 Ambassador Caffery Pkwy,Lafayette,LA,70506,1,HSI00000562,Lafayette General Health,Lafayette,LA
CHSP00007518,190236,Willis-Knighton Bossier,2400 Hospital Dr,Bossier City,LA,71111,1,HSI00001263,Willis-Knighton Health System,Shreveport,LA
CHSP00005638,190257,Ruston Surgical Center,1118 S Farmerville St,Ruston,LA,71270,0,HSI00000152,Christus Health,Irving,TX
CHSP00002226,190261,Glenwood Surgical Center,1275 Glenwood Dr,West Monroe,LA,71291,0,HSI00001037,Steward Health Care System,Dallas,TX
CHSP00004771,190275,Ochsner Medical Center West Bank,2500 Belle Chasse Hwy,Terrytown,LA,70056,1,HSI00000780,Ochsner Health System,New Orleans,LA
CHSP00006255,19047F,Southeast Louisiana Va Health Care System,2400 Canal St,New Orleans,LA,70119,0,,,,
CHSP00003515,192011,Lifecare Hospitals  Llc,1666 E Bert Kouns Industrial Loop,Shreveport,LA,71105,0,,,,
CHSP00007021,193034,Touro Infirmary Rehabilitation Center,1401 Foucher St,New Orleans,LA,70115,0,HSI00000555,LCMC Health System,New Orleans,LA
CHSP00007932,193098,Cobalt Rehab Hospital New Orleans,3801 Bienville St,New Orleans,LA,70119,0,,,,
CHSP00000045,194078,Optima Specialty Hospital,1131 Rue Du Belier,Lafayette,LA,70506,0,,,,
CHSP00008133,194113,Lake Pines Hospital,3639 Loyola Dr,Kenner,LA,70065,0,,,,
CHSP00008243,194114,River Place Behavioral Health,500 Rue De Sante,La Place,LA,70068,0,HSI00000780,Ochsner Health System,New Orleans,LA
CHSP00008364,195150,Villa Feliciana Medical Complex,5002 Highway 10,Jackson,LA,70748,0,,,,
CHSP00008258,195159,Saint Francis Specialty Hospital,309 Jackson St,Monroe,LA,71201,0,,,,
CHSP00008190,197119,Ochsner Bayou Llc,4608 Highway 1,Raceland,LA,70394,1,HSI00000780,Ochsner Health System,New Orleans,LA
CHSP00007907,207071,Calais Regional Hospital,24 Hospital Ln,Calais,ME,04619,1,,,,
CHSP00008139,215033,Levindale Hebrew Geriatric Center And Hospital Inc,2434 W Belvedere Ave,Baltimore,MD,21215,0,HSI00000582,LifeBridge Health,Baltimore,MD
CHSP00003617,220082,Lowell General Hospital Saints Campus,1 Hospital Dr,Lowell,MA,01852,1,HSI00000598,Lowell General Hospital,Lowell,MA
CHSP00004150,220089,Metrowest Medical Center,67 Union St,Natick,MA,01760,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00008280,220153,Soldiers Home In Holyoke,110 Cherry St,Holyoke,MA,01040,0,,,,
CHSP00002721,220174,Holy Family Hospital At Merrimack Valley,140 Lincoln Ave,Haverhill,MA,01830,1,HSI00001037,Steward Health Care System,Dallas,TX
CHSP00003244,222045,Curahealth Boston,1515 Commonwealth Ave,Brighton,MA,02135,0,,,,
CHSP00008265,222319,Saint Vincent Hospital,123 Summer St,Worcester,MA,01608,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00008351,223504,Umass Memorial Medical Center,119 Belmont St,Worcester,MA,01605,1,HSI00001122,UMass Memorial Health Care,Worcester,MA
CHSP00008054,224042,High Point Hospital,52 Oak St,Middleboro,MA,02346,0,,,,
CHSP00008326,224043,Devens Treatment & Recovery Center,85 Patton Rd,Devens,MA,01434,0,,,,
CHSP00003998,230004,Mercy Health Mercy Campus,1500 E Sherman Blvd,Muskegon,MI,49444,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00005726,230223,Saint John Macomb Oakland Hospital,27351 Dequindre Rd,Madison Heights,MI,48071,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00008289,231317,Kelsey Memorial Hospital,418 Washington St,Lakeview,MI,48850,1,HSI00001021,Spectrum Health,Grand Rapids,MI
CHSP00006360,232029,Kent Community Campus,1840 Wealthy St Se,Grand Rapids,MI,49506,1,HSI00001021,Spectrum Health,Grand Rapids,MI
CHSP00000670,232034,Borgess-Pipp Health Center,411 Naomi St,Plainwell,MI,49080,0,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00008212,232039,Pioneer Specialty Hospital,50 N Perry St,Pontiac,MI,48342,0,,,,
CHSP00008122,233975,Kalkaska County Hospital Authority,419 S Coral St,Kalkaska,MI,49646,0,HSI00000715,Munson Healthcare,Traverse City,MI
CHSP00008147,233979,Mackinac Straits Hospital And Health Center,1140 N State St,Saint Ignace,MI,49781,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00008262,233998,Saint Marys Of Michigan Standish Hospital,805 W Cedar St,Standish,MI,48658,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00008268,234040,Samaritan Behavioral Center,5555 Conner St,Detroit,MI,48213,0,,,,
CHSP00007913,234043,Cedar Creek Hospital,101 W Townsend Rd,Saint Johns,MI,48879,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00008042,235150,Healthsource Saginaw,3340 Hospital Rd,Saginaw,MI,48603,0,,,,
CHSP00007868,235161,Aspirus Ontonagon Hospital At Aspirus Inc,601 S 7th St,Ontonagon,MI,49953,1,HSI00000057,Aspirus,Wausau,WI
CHSP00008204,235460,Paul Oliver Memorial Hospital,224 Park Ave,Frankfort,MI,49635,1,HSI00000715,Munson Healthcare,Traverse City,MI
CHSP00008019,238636,Gerber Memorial Hospital,212 S Sullivan Ave,Fremont,MI,49412,1,HSI00001021,Spectrum Health,Grand Rapids,MI
CHSP00007237,240132,Unity Hospital,550 Osborne Rd Ne,Fridley,MN,55432,1,HSI00000029,Allina Health System,Minneapolis,MN
CHSP00008355,241820,University Of Minnesota Masonic Childrens Hospital,2450 Riverside Ave,Minneapolis,MN,55454,1,HSI00000357,Fairview Health Services,Minneapolis,MN
CHSP00007861,243406,Aitkin Community Hospital Inc,200 Bunker Hill Dr,Aitkin,MN,56431,1,,,,
CHSP00008181,243409,North Valley Health Center,300 W Good Samaritan Dr,Warren,MN,56762,1,,,,
CHSP00007995,243416,Essentia Health Ada,201 9th St W,Ada,MN,56510,1,HSI00000350,Essentia Health,Duluth,MN
