model,forecast_date,target,target_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Connecticut,66,50,58,76,103
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Delaware,17,4,12,22,33
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,District of Columbia,20,10,17,25,31
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Florida,537,451,505,645,670
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Georgia,272,156,225,312,388
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Hawaii,2,0,1,4,7
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Idaho,13,5,8,19,26
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Illinois,124,81,112,156,206
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Indiana,85,28,69,96,133
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Iowa,30,17,22,38,51
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Kansas,37,17,29,46,61
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Kentucky,165,110,137,183,227
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Louisiana,63,34,62,79,111
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Maine,7,3,5,9,12
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Maryland,94,71,74,107,140
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Massachusetts,97,57,80,118,149
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Michigan,82,55,67,99,135
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Minnesota,37,15,28,42,55
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Mississippi,46,13,35,48,66
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Missouri,66,27,49,79,105
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Montana,12,3,9,14,22
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,National,5426,4409,5041,5957,7170
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Nebraska,16,9,13,21,29
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Nevada,51,29,42,55,75
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,New Hampshire,11,3,7,16,18
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,New Jersey,211,166,210,245,306
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,New Mexico,22,6,13,25,40
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,New York,565,472,548,611,737
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,North Carolina,132,81,109,150,196
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,North Dakota,4,1,2,7,12
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Ohio,168,98,151,201,249
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Oklahoma,108,75,94,118,151
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Oregon,22,10,17,27,37
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Pennsylvania,210,161,193,240,304
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Puerto Rico,9,2,6,24,32
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Rhode Island,13,6,11,17,24
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,South Carolina,95,66,80,107,130
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,South Dakota,10,4,6,11,14
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Tennessee,85,42,71,102,144
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Texas,556,382,490,650,823
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Utah,34,12,24,42,52
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Vermont,5,1,2,6,10
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Virgin Islands,0,0,0,1,1
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Virginia,125,93,114,135,185
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Washington,40,20,32,50,64
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,West Virginia,22,13,19,26,38
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Wisconsin,58,28,45,70,100
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Wyoming,4,0,3,6,12
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Alabama,106,84,98,112,135
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Alaska,3,0,2,4,7
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Arizona,147,125,139,157,200
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Arkansas,48,34,44,53,64
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,California,570,521,549,606,687
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Colorado,69,52,63,75,88
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Connecticut,68,54,62,73,91
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Delaware,24,11,20,28,34
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,District of Columbia,20,13,17,25,34
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Florida,619,545,595,645,717
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Georgia,314,281,304,331,371
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Hawaii,2,0,1,3,6
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Idaho,16,9,13,19,24
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Illinois,148,124,139,158,182
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Indiana,97,79,89,105,119
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Iowa,35,23,32,39,53
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Kansas,45,34,39,50,61
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Kentucky,185,153,173,196,227
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Louisiana,62,49,58,67,80
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Maine,6,2,4,8,11
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Maryland,98,78,92,107,124
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Massachusetts,109,85,102,117,131
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Michigan,96,75,90,104,117
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Minnesota,40,28,34,44,54
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Mississippi,38,27,34,44,56
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Missouri,80,57,72,88,105
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Montana,16,8,13,18,23
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,National,5833,5463,5668,6010,6557
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Nebraska,18,10,15,21,29
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Nevada,51,40,45,56,70
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,New Hampshire,13,6,10,15,20
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,New Jersey,239,192,227,250,272
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,New Mexico,35,23,30,38,50
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,New York,621,546,594,649,704
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,North Carolina,149,125,141,159,180
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,North Dakota,8,3,6,10,15
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Ohio,186,154,176,197,224
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Oklahoma,110,84,101,118,138
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Oregon,24,14,20,26,34
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Pennsylvania,245,209,232,258,286
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Rhode Island,13,6,11,15,20
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,South Carolina,133,112,126,142,159
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,South Dakota,10,4,8,13,17
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Tennessee,110,89,102,121,138
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Utah,38,26,33,42,53
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Vermont,5,2,4,7,11
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Virginia,164,141,154,178,205
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Washington,45,30,40,51,62
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,West Virginia,27,18,24,32,43
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Wisconsin,73,57,68,79,102
Columbia,2021-02-28,2 day ahead inc hosp,2021-03-02,Wyoming,5,1,4,7,12
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Alabama,27,21,24,31,34
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Alaska,0,0,0,1,1
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Delaware,2,1,1,2,3
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,District of Columbia,4,3,3,5,6
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Hawaii,1,1,1,2,2
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Idaho,8,6,7,10,11
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Iowa,6,4,5,7,8
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Kansas,12,9,10,14,15
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Maine,4,3,3,5,5
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Minnesota,2,1,2,3,3
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Montana,1,0,0,1,1
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,New Hampshire,1,0,0,2,2
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,New Mexico,8,5,6,9,10
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,North Dakota,0,0,0,1,1
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Oregon,7,5,6,8,9
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Rhode Island,7,5,5,8,9
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,South Carolina,42,32,37,48,52
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,South Dakota,1,0,0,2,2
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Vermont,1,0,0,1,1
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Virginia,41,31,36,46,51
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Washington,17,12,14,19,21
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,West Virginia,3,2,3,4,5
Google-HSPH,2021-02-28,2 day ahead inc hosp,2021-03-02,Wyoming,0,0,0,1,1
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Alabama,171,78,126,205,241
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Alaska,6,3,4,7,9
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Arizona,143,103,120,156,203
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Arkansas,81,47,61,95,129
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,California,507,426,482,526,610
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Colorado,73,51,61,77,104
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Connecticut,67,36,58,76,102
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Delaware,15,1,8,21,34
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,District of Columbia,39,16,24,48,83
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Florida,551,451,505,597,670
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Georgia,211,141,180,246,278
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Idaho,19,12,14,22,27
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Illinois,161,88,138,174,249
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Indiana,91,12,73,111,154
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Iowa,36,19,30,42,48
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Kansas,47,21,35,58,68
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Kentucky,305,213,258,356,439
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Maine,8,4,6,10,11
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Michigan,84,48,67,91,136
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Minnesota,35,21,27,40,56
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Mississippi,49,9,37,64,76
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Missouri,91,51,76,105,128
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Montana,19,8,13,24,35
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,National,6437,4642,5587,7418,8543
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Nebraska,17,10,14,20,23
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Nevada,44,29,38,48,60
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,New Jersey,252,169,210,292,342
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,New Mexico,14,0,2,20,43
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,New York,557,487,536,586,613
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,North Carolina,153,112,139,158,208
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,North Dakota,10,3,6,13,19
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Ohio,194,114,164,232,275
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Oklahoma,132,90,101,154,195
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Oregon,23,10,15,28,41
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Pennsylvania,282,203,238,313,391
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Rhode Island,15,0,7,24,31
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,South Carolina,95,74,82,106,124
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,South Dakota,17,6,12,22,30
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Tennessee,133,36,104,172,198
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Utah,34,10,24,44,58
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Vermont,5,0,2,8,12
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Washington,51,34,44,61,66
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,West Virginia,24,2,19,31,42
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Wisconsin,82,49,74,93,112
GT-DeepCOVID,2021-03-01,1 day ahead inc hosp,2021-03-02,Wyoming,6,0,3,8,13
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Alabama,79,58,71,87,100
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Alaska,2,1,1,3,4
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Arizona,115,80,103,127,147
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Arkansas,19,13,17,22,25
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,California,730,545,659,797,919
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Delaware,19,14,17,21,24
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,District of Columbia,6,4,5,7,8
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Florida,350,303,333,367,410
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Georgia,337,274,315,356,420
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Hawaii,3,1,2,3,4
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Idaho,6,5,5,7,8
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Illinois,99,75,90,107,128
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Indiana,37,28,34,41,47
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Iowa,26,20,24,29,34
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Kansas,60,43,53,66,85
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Maine,1,0,1,2,2
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Michigan,60,49,55,63,73
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Minnesota,12,9,11,13,16
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Montana,5,3,4,6,8
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,National,4057,3637,3921,4194,4423
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Nebraska,12,9,11,14,16
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Nevada,52,39,48,57,64
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,New Hampshire,3,1,2,4,5
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,New Jersey,131,77,110,149,207
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,New Mexico,28,21,25,30,34
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,North Carolina,99,79,91,105,127
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,North Dakota,2,1,1,3,4
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Oregon,8,6,7,9,11
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Rhode Island,21,15,19,23,29
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,South Carolina,84,69,79,89,98
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,South Dakota,10,8,9,11,13
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Tennessee,63,46,57,69,85
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Texas,575,384,515,638,739
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Utah,34,27,31,36,40
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Vermont,2,1,1,3,5
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Virginia,32,25,29,35,42
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Washington,17,13,15,19,21
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,West Virginia,14,11,12,15,18
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Wisconsin,35,28,32,38,46
IHME,2021-02-25,5 day ahead inc hosp,2021-03-02,Wyoming,4,2,3,5,7
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Alabama,46,29,37,53,76
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Alaska,4,1,2,6,14
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Arizona,95,21,44,117,315
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Arkansas,31,19,24,36,50
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,California,376,196,283,432,760
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Colorado,45,16,27,55,110
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Connecticut,43,10,27,53,101
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Delaware,11,1,5,15,33
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,District of Columbia,5,0,1,7,22
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Florida,281,163,221,330,472
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Hawaii,8,0,2,12,39
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Idaho,12,4,7,14,27
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Illinois,91,40,63,110,200
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Indiana,47,28,38,52,76
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Iowa,32,19,24,37,62
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Kansas,25,12,18,30,51
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Louisiana,39,23,31,45,66
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Maine,16,6,11,20,34
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Michigan,86,44,63,99,189
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Minnesota,39,19,28,46,84
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Missouri,43,21,32,52,85
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Montana,8,2,4,9,22
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Nebraska,17,6,11,21,35
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,Nevada,22,3,8,26,79
JHU-IDD,2021-02-28,2 day ahead inc hosp,2021-03-02,New Hampshire,17,5,10,21,39
