Facility Name,Region,County,Modified Date,Time ,COVID-19 Patients in Acute Care Beds,COVID-19 Patients in ICU,Ventilators Available,Ventilators in Use,Physical Adult ICU Beds,Staffed Adult ICU Beds,Occupied Adult ICU Beds,Physical Pediatric ICU Beds,Staffed Pediatric ICU Beds,Occupied Pediatric ICU Beds,Physical Adult Acute Care Beds,Staffed Adult Acute Care Beds,Occupied Adult Acute Care Beds,Physical Pediatric Acute Care Beds,Staffed Pediatric Acute Care Beds,Occupied Pediatric Acute Care Beds,Patients in the ED,Have you expanded into non traditional spaces?,"If you have expanded, how many beds have you added?",Indicator of Clinical Staff Absenteeism,ECMO Adult Machines,ECMO Peds/Neonate Machines,Patients Under Investigation
Anne Arundel Medical Center,Region III,Anne Arundel County,5/3/20,13:22:00,67,15,99,30,38,30,26,0,0,0,326,280,238,10,10,3,18,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,5/4/20,15:19:00,58,19,99,30,38,36,36,0,0,0,326,280,234,10,10,4,17,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,5/5/20,14:08:00,56,19,99,28,38,38,34,0,0,0,326,280,257,10,10,4,26,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,5/6/20,13:46:00,45,18,92,26,38,38,32,0,0,0,326,280,265,10,10,3,31,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,5/7/20,14:05:00,42,17,92,23,38,38,32,0,0,0,326,280,271,10,10,2,24,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,5/8/20,13:21:00,49,27,53,27,38,38,32,0,0,0,326,280,271,10,10,5,25,Yes,439,1,0,0,24
Anne Arundel Medical Center,Region III,Anne Arundel County,5/9/20,14:42:00,50,32,53,27,38,38,38,0,0,0,326,280,259,10,10,3,24,Yes,439,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,5/10/20,13:51:00,50,31,53,27,38,45,39,0,0,0,326,280,252,10,10,4,15,Yes,439,1,0,0,27
Anne Arundel Medical Center,Region III,Anne Arundel County,5/11/20,15:44:00,45,30,90,31,45,45,38,0,0,0,326,280,251,10,10,5,20,Yes,439,1,0,0,21
Anne Arundel Medical Center,Region III,Anne Arundel County,5/12/20,16:03:00,52,32,94,39,45,45,45,0,0,0,326,280,269,10,10,5,33,Yes,439,1,0,0,21
Anne Arundel Medical Center,Region III,Anne Arundel County,5/13/20,09:45:00,53,30,92,36,45,45,40,0,0,0,326,280,269,10,10,7,27,Yes,439,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,5/14/20,09:34:00,40,25,71,30,45,45,36,0,0,0,326,280,256,10,10,7,15,Yes,439,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,5/15/20,09:29:00,45,22,74,29,45,45,33,0,0,0,326,280,240,10,10,5,17,Yes,439,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,5/16/20,14:12:00,41,20,77,26,45,45,30,0,0,0,326,280,238,10,10,3,30,Yes,439,1,0,0,23
Anne Arundel Medical Center,Region III,Anne Arundel County,5/17/20,14:27:00,54,19,77,22,45,45,28,0,0,0,326,280,243,10,10,6,24,Yes,439,1,0,0,14
Anne Arundel Medical Center,Region III,Anne Arundel County,5/18/20,12:39:00,38,22,47,30,45,45,36,0,0,0,326,280,232,10,10,2,27,Yes,439,1,0,0,12
Anne Arundel Medical Center,Region III,Anne Arundel County,5/19/20,09:56:00,37,20,53,24,45,45,28,0,0,0,326,280,242,10,10,2,26,Yes,419,1,0,0,31
Anne Arundel Medical Center,Region III,Anne Arundel County,5/20/20,10:00:00,37,22,53,24,45,45,25,0,0,0,326,280,230,10,10,4,18,Yes,419,1,0,0,33
Anne Arundel Medical Center,Region III,Anne Arundel County,5/21/20,09:18:00,32,21,52,25,45,45,32,0,0,0,326,280,228,10,10,4,24,Yes,419,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,5/22/20,09:11:00,29,23,54,23,45,45,31,0,0,0,326,280,227,10,10,2,21,Yes,419,1,0,0,6
Anne Arundel Medical Center,Region III,Anne Arundel County,5/23/20,13:06:00,31,22,54,22,45,45,30,0,0,0,326,280,241,10,10,2,28,Yes,339,1,0,0,6
Anne Arundel Medical Center,Region III,Anne Arundel County,5/24/20,09:34:00,25,23,56,21,45,45,30,0,0,0,326,280,241,10,10,3,29,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,5/25/20,09:52:00,30,19,55,22,45,45,28,0,0,0,326,280,234,10,10,2,28,Yes,339,1,0,0,14
Anne Arundel Medical Center,Region III,Anne Arundel County,5/26/20,09:22:00,30,20,57,20,45,45,33,0,0,0,326,280,244,10,10,2,32,Yes,339,1,0,0,8
Anne Arundel Medical Center,Region III,Anne Arundel County,5/27/20,09:34:00,25,20,59,18,45,45,36,0,0,0,326,280,233,10,10,5,26,Yes,339,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,5/28/20,13:14:00,29,20,58,19,45,45,32,0,0,0,326,280,246,10,10,2,24,Yes,339,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,5/29/20,14:15:00,24,20,59,18,45,45,25,0,0,0,326,280,230,10,10,3,21,Yes,339,1,0,0,11
Anne Arundel Medical Center,Region III,Anne Arundel County,5/30/20,09:06:00,23,18,58,19,45,45,28,0,0,0,326,280,268,10,10,1,24,Yes,339,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,5/31/20,09:13:00,26,18,61,16,45,45,24,0,0,0,326,280,273,10,10,3,23,Yes,339,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,6/1/20,16:44:00,28,19,61,16,45,45,24,0,0,0,326,280,247,10,10,3,28,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,6/2/20,09:08:00,26,19,58,19,45,45,31,0,0,0,326,280,267,10,10,6,22,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,6/3/20,09:10:00,26,20,56,21,45,45,30,0,0,0,326,280,264,10,10,6,19,Yes,339,1,0,0,11
Anne Arundel Medical Center,Region III,Anne Arundel County,6/4/20,10:18:00,31,19,58,19,45,45,38,0,0,0,326,280,261,10,10,5,13,Yes,339,1,0,0,11
Anne Arundel Medical Center,Region III,Anne Arundel County,6/5/20,09:11:00,36,16,61,16,45,45,24,0,0,0,326,280,270,10,10,3,14,Yes,339,1,0,0,8
Anne Arundel Medical Center,Region III,Anne Arundel County,6/6/20,09:11:00,36,16,63,14,45,45,29,0,0,0,326,280,288,10,10,3,18,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,6/7/20,09:24:00,32,16,62,15,45,45,30,0,0,0,326,280,250,10,10,4,22,Yes,339,1,0,0,8
Anne Arundel Medical Center,Region III,Anne Arundel County,6/8/20,12:48:00,30,15,59,18,45,45,31,0,0,0,326,280,252,10,10,1,23,Yes,339,1,0,0,3
Anne Arundel Medical Center,Region III,Anne Arundel County,6/9/20,09:12:00,22,17,60,16,45,45,29,0,0,0,326,280,268,10,10,6,38,Yes,339,1,0,0,11
Anne Arundel Medical Center,Region III,Anne Arundel County,6/10/20,09:15:00,19,17,60,17,45,45,29,0,0,0,326,280,282,10,10,6,2,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,6/11/20,09:45:00,16,15,62,14,45,45,28,0,0,0,326,280,282,10,10,3,33,Yes,339,1,0,0,6
Anne Arundel Medical Center,Region III,Anne Arundel County,6/12/20,09:15:00,12,14,64,12,45,45,29,0,0,0,326,280,283,10,10,4,33,Yes,339,1,0,0,6
Anne Arundel Medical Center,Region III,Anne Arundel County,6/13/20,09:05:00,14,12,62,14,45,45,29,0,0,0,326,280,289,10,10,4,18,Yes,339,1,0,0,10
Anne Arundel Medical Center,Region III,Anne Arundel County,6/14/20,09:12:00,14,12,63,13,45,45,22,0,0,0,326,280,241,10,10,6,26,Yes,339,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,6/15/20,09:16:00,11,12,60,16,45,45,24,0,0,0,326,280,248,10,10,4,23,Yes,339,1,0,0,12
Anne Arundel Medical Center,Region III,Anne Arundel County,6/16/20,09:23:00,12,12,61,15,45,45,24,0,0,0,326,280,257,10,10,1,24,Yes,339,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,6/17/20,13:21:00,16,10,61,15,45,45,23,0,0,0,326,280,259,10,10,2,23,Yes,339,1,0,0,10
Anne Arundel Medical Center,Region III,Anne Arundel County,6/18/20,09:26:00,15,11,63,14,45,45,29,0,0,0,326,280,254,10,10,3,30,Yes,339,1,0,0,10
Anne Arundel Medical Center,Region III,Anne Arundel County,6/19/20,09:39:00,16,10,61,15,45,45,31,0,0,0,326,280,272,10,10,5,20,Yes,339,1,0,0,9
Anne Arundel Medical Center,Region III,Anne Arundel County,6/20/20,09:05:00,15,8,60,16,45,45,30,0,0,0,326,280,274,10,10,3,18,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,6/21/20,09:12:00,14,8,57,19,45,45,36,0,0,0,326,280,258,10,10,2,22,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,6/22/20,09:52:00,12,7,61,15,45,45,30,0,0,0,326,280,264,10,10,3,18,Yes,339,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,6/23/20,09:06:00,14,8,64,12,45,45,23,0,0,0,326,280,281,10,10,5,22,Yes,339,1,0,0,6
Anne Arundel Medical Center,Region III,Anne Arundel County,6/24/20,10:10:00,16,7,66,10,45,45,20,0,0,0,326,280,292,10,10,5,41,Yes,339,1,0,0,9
Anne Arundel Medical Center,Region III,Anne Arundel County,6/25/20,11:59:00,14,8,64,12,45,45,30,0,0,0,326,280,275,10,10,6,30,Yes,339,1,0,0,10
Anne Arundel Medical Center,Region III,Anne Arundel County,6/26/20,09:15:00,13,8,64,12,45,45,27,0,0,0,326,280,277,10,10,4,30,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,6/27/20,09:06:00,14,5,70,7,45,45,21,0,0,0,326,280,259,10,10,5,22,Yes,339,1,0,0,10
Anne Arundel Medical Center,Region III,Anne Arundel County,6/28/20,09:02:00,16,5,68,8,45,45,17,0,0,0,326,280,253,10,10,5,23,Yes,339,1,0,0,12
Anne Arundel Medical Center,Region III,Anne Arundel County,6/29/20,09:29:00,18,5,69,7,45,45,18,0,0,0,326,280,257,10,10,4,29,Yes,339,1,0,0,11
Anne Arundel Medical Center,Region III,Anne Arundel County,6/30/20,09:10:00,20,4,68,6,45,45,18,0,0,0,326,280,274,10,10,4,21,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,7/1/20,09:11:00,15,4,69,5,45,45,15,0,0,0,326,280,266,10,10,4,31,Yes,339,1,0,0,14
Anne Arundel Medical Center,Region III,Anne Arundel County,7/2/20,09:19:00,14,5,70,4,45,45,18,0,0,0,326,280,253,10,10,5,17,Yes,339,1,0,0,15
Anne Arundel Medical Center,Region III,Anne Arundel County,7/3/20,09:05:00,14,5,69,5,45,45,12,0,0,0,326,280,263,10,10,4,26,Yes,339,1,0,0,6
Anne Arundel Medical Center,Region III,Anne Arundel County,7/4/20,09:08:00,14,5,68,6,45,45,13,0,0,0,326,280,230,10,10,2,25,Yes,339,1,0,0,12
Anne Arundel Medical Center,Region III,Anne Arundel County,7/5/20,09:12:00,10,5,66,8,45,45,17,0,0,0,326,280,212,10,10,5,27,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,7/6/20,09:24:00,10,5,65,9,45,45,26,0,0,0,326,280,228,10,10,1,21,Yes,339,1,0,0,4
Anne Arundel Medical Center,Region III,Anne Arundel County,7/7/20,09:23:00,12,5,64,10,45,45,25,0,0,0,326,280,268,10,10,null,25,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,7/8/20,10:00:00,15,4,64,10,45,45,26,0,0,0,326,280,282,10,10,5,33,Yes,339,1,0,0,11
Anne Arundel Medical Center,Region III,Anne Arundel County,7/9/20,14:41:00,16,4,66,8,45,45,19,0,0,0,326,283,283,10,10,5,26,Yes,339,1,0,0,15
Anne Arundel Medical Center,Region III,Anne Arundel County,7/10/20,09:16:00,16,3,68,6,45,45,16,0,0,0,326,285,261,10,10,6,41,Yes,339,1,0,0,8
Anne Arundel Medical Center,Region III,Anne Arundel County,7/11/20,09:09:00,18,3,66,8,45,45,14,0,0,0,326,285,243,10,10,5,27,Yes,339,1,0,0,15
Anne Arundel Medical Center,Region III,Anne Arundel County,7/12/20,09:10:00,14,4,64,10,45,45,16,0,0,0,326,285,237,10,10,1,18,Yes,339,1,0,0,18
Anne Arundel Medical Center,Region III,Anne Arundel County,7/13/20,09:41:00,16,4,67,7,45,45,19,0,0,0,326,285,250,10,10,4,21,Yes,339,1,0,0,14
Anne Arundel Medical Center,Region III,Anne Arundel County,7/14/20,09:43:00,17,4,67,7,45,45,18,0,0,0,326,285,259,10,10,7,23,Yes,339,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,7/15/20,09:32:00,16,4,69,5,45,45,16,0,0,0,326,285,266,10,10,5,27,Yes,339,1,0,0,15
Anne Arundel Medical Center,Region III,Anne Arundel County,7/16/20,09:34:00,14,4,68,6,45,45,17,0,0,0,326,285,260,10,10,2,22,Yes,339,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,7/17/20,09:32:00,18,4,69,5,45,45,19,0,0,0,326,285,267,10,10,5,24,Yes,339,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,7/18/20,09:19:00,20,4,69,6,38,38,23,0,0,0,326,285,259,10,10,2,26,Yes,339,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,7/19/20,09:15:00,19,3,69,6,38,38,23,0,0,0,326,285,258,10,10,2,30,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,7/20/20,09:23:00,18,3,67,7,38,38,22,0,0,0,326,285,235,10,10,4,33,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,7/21/20,09:20:00,20,4,67,7,38,38,20,0,0,0,326,285,265,10,10,4,20,Yes,339,1,0,0,10
Anne Arundel Medical Center,Region III,Anne Arundel County,7/22/20,10:04:00,18,3,67,7,38,38,21,0,0,0,326,285,250,10,10,2,27,Yes,339,1,0,0,18
Anne Arundel Medical Center,Region III,Anne Arundel County,7/23/20,10:08:00,15,6,63,11,38,38,24,0,0,0,326,285,261,10,10,6,29,Yes,339,1,0,0,16
Anne Arundel Medical Center,Region III,Anne Arundel County,7/24/20,09:18:00,18,5,62,12,38,38,22,0,0,0,326,285,263,10,10,4,32,Yes,339,2,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,7/25/20,09:07:00,22,5,64,10,38,38,19,0,0,0,326,285,256,10,10,4,26,Yes,339,2,0,0,18
Anne Arundel Medical Center,Region III,Anne Arundel County,7/26/20,09:18:00,17,7,62,12,38,38,25,0,0,0,326,285,235,10,10,6,31,Yes,339,2,0,0,15
Anne Arundel Medical Center,Region III,Anne Arundel County,7/27/20,09:30:00,18,7,60,14,38,38,23,0,0,0,326,285,239,10,10,4,15,Yes,339,2,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,7/28/20,09:09:00,22,4,62,12,38,38,25,0,0,0,326,285,239,10,10,2,39,Yes,339,2,0,0,20
Anne Arundel Medical Center,Region III,Anne Arundel County,7/29/20,09:29:00,20,5,59,15,38,38,25,0,0,0,326,285,280,10,10,4,28,Yes,339,2,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,7/30/20,09:23:00,18,5,60,14,38,38,29,0,0,0,326,285,279,10,10,10,18,Yes,339,2,0,0,22
Anne Arundel Medical Center,Region III,Anne Arundel County,7/31/20,09:09:00,21,4,59,15,38,38,26,0,0,0,326,285,276,10,10,11,50,Yes,339,2,0,0,26
Anne Arundel Medical Center,Region III,Anne Arundel County,8/1/20,09:10:00,20,4,59,15,38,38,27,0,0,0,326,285,275,10,10,7,34,Yes,339,2,0,0,2
Anne Arundel Medical Center,Region III,Anne Arundel County,8/2/20,09:26:00,22,3,58,16,38,38,27,0,0,0,326,285,263,10,10,8,27,Yes,339,2,0,0,9
Anne Arundel Medical Center,Region III,Anne Arundel County,8/3/20,09:39:00,22,4,58,16,38,38,27,0,0,0,326,285,258,10,10,5,29,Yes,339,2,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,8/4/20,12:10:00,23,2,60,14,38,38,24,0,0,0,326,285,268,10,10,5,40,Yes,339,2,0,0,9
Anne Arundel Medical Center,Region III,Anne Arundel County,8/5/20,10:19:00,18,2,58,16,38,38,26,0,0,0,326,285,268,10,10,2,30,Yes,339,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,8/6/20,10:34:00,17,2,58,16,38,38,27,0,0,0,326,285,274,10,10,3,31,Yes,339,1,0,0,21
Anne Arundel Medical Center,Region III,Anne Arundel County,8/7/20,09:20:00,17,2,59,15,38,38,27,0,0,0,326,285,272,10,10,6,27,Yes,339,1,0,0,25
Anne Arundel Medical Center,Region III,Anne Arundel County,8/8/20,09:05:00,15,3,60,14,38,38,25,0,0,0,326,285,255,10,10,7,33,Yes,339,1,0,0,18
Anne Arundel Medical Center,Region III,Anne Arundel County,8/9/20,14:15:00,13,2,63,11,38,38,21,0,0,0,326,285,255,10,10,7,30,Yes,339,1,0,0,12
Anne Arundel Medical Center,Region III,Anne Arundel County,8/10/20,12:04:00,9,2,63,11,38,38,19,0,0,0,326,285,251,10,10,5,30,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,8/11/20,09:06:00,13,2,63,11,38,38,23,0,0,0,326,285,280,10,10,3,39,Yes,339,1,0,0,9
Anne Arundel Medical Center,Region III,Anne Arundel County,8/12/20,10:04:00,15,2,66,8,38,38,18,0,0,0,326,285,273,10,10,3,38,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,8/13/20,09:45:00,15,3,65,9,38,38,23,0,0,0,326,285,268,10,10,4,36,Yes,339,1,0,0,24
Anne Arundel Medical Center,Region III,Anne Arundel County,8/14/20,09:29:00,13,3,65,9,38,38,24,0,0,0,326,285,265,10,10,2,37,Yes,339,1,0,0,32
Anne Arundel Medical Center,Region III,Anne Arundel County,8/15/20,09:02:00,15,3,64,10,38,38,23,0,0,0,326,285,251,10,10,8,26,Yes,339,1,0,0,16
Anne Arundel Medical Center,Region III,Anne Arundel County,8/16/20,09:02:00,15,3,66,8,38,38,22,0,0,0,326,285,233,10,10,6,27,Yes,339,1,0,0,14
Anne Arundel Medical Center,Region III,Anne Arundel County,8/17/20,09:30:00,13,4,62,12,38,38,26,0,0,0,326,285,239,10,10,1,29,Yes,339,1,0,0,7
Anne Arundel Medical Center,Region III,Anne Arundel County,8/18/20,09:34:00,12,4,62,10,38,38,23,0,0,0,326,285,261,10,10,1,26,Yes,339,1,0,0,17
Anne Arundel Medical Center,Region III,Anne Arundel County,8/19/20,09:28:00,11,4,64,10,38,38,21,0,0,0,326,285,268,10,10,null,33,Yes,339,1,0,0,12
Anne Arundel Medical Center,Region III,Anne Arundel County,8/20/20,10:38:00,15,2,64,12,38,38,19,0,0,0,326,285,271,10,10,2,31,Yes,339,1,0,0,15
Anne Arundel Medical Center,Region III,Anne Arundel County,8/21/20,09:22:00,15,4,64,10,38,38,27,0,0,0,326,285,282,10,10,4,32,Yes,339,1,0,0,18
Anne Arundel Medical Center,Region III,Anne Arundel County,8/22/20,09:03:00,15,4,68,6,38,38,25,0,0,0,326,285,266,10,10,5,32,Yes,339,1,0,0,12
Anne Arundel Medical Center,Region III,Anne Arundel County,8/23/20,09:02:00,13,3,68,5,38,38,20,0,0,0,326,285,237,10,10,6,38,Yes,339,1,0,0,13
Anne Arundel Medical Center,Region III,Anne Arundel County,8/24/20,09:19:00,12,4,68,6,38,38,22,0,0,0,326,285,247,10,10,5,22,Yes,339,1,0,0,5
Anne Arundel Medical Center,Region III,Anne Arundel County,8/25/20,10:08:00,12,4,69,7,38,38,23,0,0,0,326,285,263,10,10,6,33,Yes,339,1,0,0,9
Anne Arundel Medical Center,Region III,Anne Arundel County,8/26/20,09:05:00,9,4,67,7,38,38,16,0,0,0,326,285,260,10,10,9,31,Yes,339,1,0,0,14
