hospital_name,hospital_id,system_name,city,hrr,hsa,capacity,admissions,transfers_out,transfers_in,overflow_wtfr,overflow_notfr,maxload_wtfr,maxload_notfr,requiredbeds_wtfr,requiredbeds_notfr
Holy Cross Germantown Hospital,210065,Trinity Health,Germantown,"Washington, DC","Rockville, MD",7.5,39.22040816326532,1.2453177514207987,0.0,0.0,2.975,1.0000000000000004,1.107309875189675,0.0,0.805
Holy Cross Hospital,210004,Trinity Health,Silver Spring,"Takoma Park, MD","Silver Spring, MD",30.5,110.32653061224491,8.33241671882972,9.069386789530608,9.253,37.325,1.2579458012713283,1.3789896286383407,7.867,11.559
Howard County General Hospital,210048,Johns Hopkins Health System,Columbia,"Baltimore, MD","Columbia, MD",15.0,52.46326530612244,0.0,5.001623728786184,0.0,0.0,0.9605442176870748,0.9605442176870748,0.0,0.0
Johns Hopkins Bayview Medical Center,210029,Johns Hopkins Health System,Baltimore,"Baltimore, MD","Baltimore, MD",25.5,46.45714285714286,0.0,17.83540459590181,0.0,0.0,0.5759594380875207,0.38661090748487087,0.0,0.0
The Johns Hopkins Hospital,210015,MedStar Health,Baltimore,"Baltimore, MD","Baltimore, MD",62.5,56.95102040816328,0.0,10.33062730046063,0.0,0.0,0.38592653061224486,0.38592653061224486,0.0,0.0
MedStar Franklin Square Medical Center,210056,MedStar Health,Baltimore,"Baltimore, MD","Baltimore, MD",20.5,123.0734693877551,25.43322372043637,0.0,1.071,133.246,1.0522648083623694,1.2735689397710306,1.071,5.608
MedStar Good Samaritan Hospital,210034,MedStar Health,Baltimore,"Baltimore, MD","Baltimore, MD",8.5,65.66938775510204,18.47436715742515,0.0,0.0,94.118,1.0000000000000002,1.4614973560390319,0.0,3.923
MedStar Harbor Hospital,210018,MedStar Health,Olney,"Takoma Park, MD","Olney, MD",10.5,36.97959183673469,0.0,8.43445339586807,0.0,0.0,1.0,0.9852906235812744,0.0,0.0
MedStar Montgomery Medical Center,210028,MedStar Health,Leonardtown,"Washington, DC","Leonardtown, MD",15.0,45.508163265306116,0.0,8.858947141817271,0.0,0.0,0.7768307602196185,0.610731334950551,0.0,0.0
MedStar Saint Mary’s Hospital,210062,MedStar Health,Clinton,"Washington, DC","Clinton, MD",6.0,30.489795918367335,1.2343531504372147,0.21284107624190368,0.0,5.265,1.0000000000000002,1.102132072687402,0.0,0.613
MedStar Southern Maryland Hospital Center,210024,MedStar Health,Baltimore,"Baltimore, MD","Baltimore, MD",14.0,66.89999999999999,5.151262904839898,2.2438840201067536,0.0,23.297,1.0000000000000002,1.148459858960214,0.0,2.078
MedStar Union Memorial Hospital,210008,Mercy,Baltimore,"Baltimore, MD","Baltimore, MD",14.0,47.95102040816326,0.0,6.770263019468926,0.0,0.0,1.0000000000000002,0.8906039889202864,0.0,0.0
Mercy Medical Center ,210001,Meritus Health,Hagerstown,"Washington, DC","Hagerstown, MD",7.5,25.102040816326525,0.0,9.097352990929695,0.0,0.0,1.0,0.7279590312050317,0.0,0.0
Meritus Medical Center,210040,LifeBridge Health,Randallstown,"Baltimore, MD","Randallstown, MD",12.0,99.71020408163261,23.199143463707337,0.0,0.0,99.92,1.0000000000000002,1.5093734758293647,0.0,6.112
Northwest Hospital Center,210011,Ascension Health,Baltimore,"Baltimore, MD","Baltimore, MD",8.5,32.087755102040816,5.518106486432539,4.788431807735585,9.083,31.62,1.603841536614646,1.7695078031212486,5.133,6.541
Saint Agnes Hospital,210012,LifeBridge Health,Baltimore,"Baltimore, MD","Baltimore, MD",7.5,52.475510204081615,18.50860432952804,0.0,1.459,91.464,1.1945578231292515,1.5083452020799877,1.459,3.813
Sinai Hospital of Baltimore,210022,Johns Hopkins Health System,Bethesda,"Washington, DC","Bethesda, MD",17.5,37.82448979591837,0.0,15.87433044778405,0.0,0.0,0.8352320735794602,0.6628571428571429,0.0,0.0
Suburban Hospital,210009,Johns Hopkins Health System,Baltimore,"Baltimore, MD","Baltimore, MD",13.5,54.544897959183665,0.0,3.953730651103177,0.0,0.0,1.0,0.9717309145880575,0.0,0.0
"TidalHealth Peninsula Regional, Inc.",210019,Peninsula Regional Health System,Salisbury,"Salisbury, MD","Salisbury, MD",42.5,99.01224489795919,0.0,18.01146539200306,0.0,0.0,0.5603704784025604,0.463392235893323,0.0,0.0
U.P.M.C. Western Maryland,210027,Western Maryland Health System,Cumberland,"Washington, DC","Cumberland, MD",14.0,42.86326530612244,2.7638393744444283,13.578958593282897,1.98,7.905,1.1413994169096209,1.2686588921282798,1.98,3.761
University of Maryland Baltimore Washington Medical Center,210032,Union Hospital,Elkton,"Wilmington, DE","Elkton, MD",14.5,61.15714285714285,10.211757654556807,1.9877882406035892,20.088,61.95,1.712878254750176,1.8192821956368757,10.337,11.88
University of Maryland Charles Regional Medical Center,210043,University of Maryland Medical System,Glen Burnie,"Baltimore, MD","Glen Burnie, MD",3.5,22.071428571428577,3.3749667647832196,0.0,0.0,13.972,1.0000000000000002,1.287775561350346,0.0,1.007
University of Maryland Prince George’s Hospital Center,210035,University of Maryland Medical System,La Plata,"Washington, DC","La Plata, MD",19.5,115.91632653061222,22.856860042629563,0.0,0.949,104.889,1.0486656200941915,1.2280857038213238,0.949,4.448
University of Maryland Shore Medical Center at Easton,210006,University of Maryland Medical System,Havre De Grace,"Baltimore, MD","Havre De Grace, MD",3.0,20.308163265306128,3.404265634635636,0.0,0.0,11.634,1.0000000000000002,1.4003142447412005,0.0,1.201
University of Maryland Shore Medical Center at Chestertown,210002,University of Maryland Medical System,Baltimore,"Baltimore, MD","Baltimore, MD",0.0,8.465413533834585,8.465413533834585,0.0,0.0,40.908,NaN,Inf,0.0,1.696
University of Maryland Upper Chesapeake Medical Center,210038,University of Maryland Medical System,Baltimore,"Baltimore, MD","Baltimore, MD",12.5,49.35918367346939,2.3933593664326267,5.462191206102012,2.459,7.321,1.1967346938775512,1.2922448979591836,2.459,3.653
Union Hospital of Cecil County,210003,University of Maryland Medical System,Cheverly,"Takoma Park, MD","Cheverly, MD",4.5,23.865306122448978,3.7051871591455523,0.0,0.255,16.87,1.056689342403628,1.2893424036281178,0.255,1.302
University of Maryland Medical Center,210030,University of Maryland Medical System,Chestertown,"Baltimore, MD","Chestertown, MD",102.5,46.9530612244898,0.0,111.63243464045294,0.0,0.0,0.3502274906937459,0.1789148830263813,0.0,0.0
University of Maryland Harford Memorial Hospital,210037,University of Maryland Medical System,Easton,"Baltimore, MD","Easton, MD",3.0,13.345249824067556,0.4567434569735318,0.0,0.0,0.69,1.0,1.1299527006606411,0.0,0.39
University of Maryland Medical Center Midtown Campus,210063,University of Maryland Medical System,Towson,"Baltimore, MD","Baltimore, MD",7.5,9.330612244897958,0.0,19.546363099975917,0.0,0.0,1.0000000000000002,0.4712925170068027,0.0,0.0
University of Maryland St. Joseph Medical Center,210049,University of Maryland Medical System,Bel Air,"Baltimore, MD","Fallston, MD",8.0,38.38775510204083,0.7637296964724034,0.8590411427606279,0.0,2.633,1.0,1.0576965259256503,0.0,0.462
