hospital,hospital_id,date,active_acute,active_icu,active_allbeds
Anne Arundel Medical Center,h39740093,2020-08-15,15,3,18
Anne Arundel Medical Center,h39740093,2020-08-16,15,3,18
Anne Arundel Medical Center,h39740093,2020-08-17,13,4,17
Anne Arundel Medical Center,h39740093,2020-08-18,12,4,16
Anne Arundel Medical Center,h39740093,2020-08-19,11,4,15
Anne Arundel Medical Center,h39740093,2020-08-20,15,2,17
Anne Arundel Medical Center,h39740093,2020-08-21,15,4,19
Anne Arundel Medical Center,h39740093,2020-08-22,15,4,19
Anne Arundel Medical Center,h39740093,2020-08-23,13,3,16
Anne Arundel Medical Center,h39740093,2020-08-24,12,4,16
Anne Arundel Medical Center,h39740093,2020-08-25,12,4,16
Anne Arundel Medical Center,h39740093,2020-08-26,9,4,13
Anne Arundel Medical Center,h39740093,2020-08-27,9,5,14
Anne Arundel Medical Center,h39740093,2020-08-28,8,5,13
Anne Arundel Medical Center,h39740093,2020-08-29,9,5,14
Anne Arundel Medical Center,h39740093,2020-08-30,6,5,11
Anne Arundel Medical Center,h39740093,2020-08-31,7,3,10
Anne Arundel Medical Center,h39740093,2020-09-01,5,3,8
Anne Arundel Medical Center,h39740093,2020-09-02,3,3,6
Anne Arundel Medical Center,h39740093,2020-09-03,4,2,6
Anne Arundel Medical Center,h39740093,2020-09-04,6,0,6
Anne Arundel Medical Center,h39740093,2020-09-05,6,0,6
Anne Arundel Medical Center,h39740093,2020-09-06,7,2,9
Anne Arundel Medical Center,h39740093,2020-09-07,10,0,10
Anne Arundel Medical Center,h39740093,2020-09-08,11,1,12
Anne Arundel Medical Center,h39740093,2020-09-09,12,2,14
Anne Arundel Medical Center,h39740093,2020-09-10,12,1,13
Anne Arundel Medical Center,h39740093,2020-09-11,12,1,13
Anne Arundel Medical Center,h39740093,2020-09-12,13,1,14
Anne Arundel Medical Center,h39740093,2020-09-13,14,1,15
Anne Arundel Medical Center,h39740093,2020-09-14,12,2,14
Anne Arundel Medical Center,h39740093,2020-09-15,12,2,14
Anne Arundel Medical Center,h39740093,2020-09-16,11,3,14
Anne Arundel Medical Center,h39740093,2020-09-17,14,3,17
Anne Arundel Medical Center,h39740093,2020-09-18,13,3,16
Anne Arundel Medical Center,h39740093,2020-09-19,12,3,15
Anne Arundel Medical Center,h39740093,2020-09-20,13,3,16
Anne Arundel Medical Center,h39740093,2020-09-21,16,3,19
Anne Arundel Medical Center,h39740093,2020-09-22,14,4,18
Anne Arundel Medical Center,h39740093,2020-09-23,12,4,16
Anne Arundel Medical Center,h39740093,2020-09-24,13,3,16
Anne Arundel Medical Center,h39740093,2020-09-25,12,3,15
Anne Arundel Medical Center,h39740093,2020-09-26,5,3,8
Anne Arundel Medical Center,h39740093,2020-09-27,5,3,8
Anne Arundel Medical Center,h39740093,2020-09-28,7,2,9
Anne Arundel Medical Center,h39740093,2020-09-29,12,1,13
Anne Arundel Medical Center,h39740093,2020-09-30,13,1,14
Anne Arundel Medical Center,h39740093,2020-10-01,14,1,15
Anne Arundel Medical Center,h39740093,2020-10-02,16,1,17
Anne Arundel Medical Center,h39740093,2020-10-03,20,1,21
Anne Arundel Medical Center,h39740093,2020-10-04,19,1,20
Anne Arundel Medical Center,h39740093,2020-10-05,18,3,21
Anne Arundel Medical Center,h39740093,2020-10-06,15,4,19
Anne Arundel Medical Center,h39740093,2020-10-07,15,4,19
Anne Arundel Medical Center,h39740093,2020-10-08,13,4,17
Anne Arundel Medical Center,h39740093,2020-10-09,13,4,17
Anne Arundel Medical Center,h39740093,2020-10-10,17,3,20
Anne Arundel Medical Center,h39740093,2020-10-11,14,2,16
Anne Arundel Medical Center,h39740093,2020-10-12,15,2,17
Anne Arundel Medical Center,h39740093,2020-10-13,13,1,14
Anne Arundel Medical Center,h39740093,2020-10-14,13,1,14
Anne Arundel Medical Center,h39740093,2020-10-15,20,1,21
Anne Arundel Medical Center,h39740093,2020-10-16,18,2,20
Anne Arundel Medical Center,h39740093,2020-10-17,18,2,20
Anne Arundel Medical Center,h39740093,2020-10-18,19,2,21
Anne Arundel Medical Center,h39740093,2020-10-19,16,4,20
Anne Arundel Medical Center,h39740093,2020-10-20,20,3,23
Anne Arundel Medical Center,h39740093,2020-10-21,15,3,18
Anne Arundel Medical Center,h39740093,2020-10-22,13,3,16
Anne Arundel Medical Center,h39740093,2020-10-23,13,4,17
Anne Arundel Medical Center,h39740093,2020-10-24,17,4,21
Anne Arundel Medical Center,h39740093,2020-10-25,19,6,25
Anne Arundel Medical Center,h39740093,2020-10-26,16,5,21
Anne Arundel Medical Center,h39740093,2020-10-27,21,3,24
Anne Arundel Medical Center,h39740093,2020-10-28,21,3,24
Anne Arundel Medical Center,h39740093,2020-10-29,21,3,24
Anne Arundel Medical Center,h39740093,2020-10-30,23,1,24
Anne Arundel Medical Center,h39740093,2020-10-31,25,2,27
Anne Arundel Medical Center,h39740093,2020-11-01,21,2,23
Anne Arundel Medical Center,h39740093,2020-11-02,20,4,24
Anne Arundel Medical Center,h39740093,2020-11-03,24,4,28
Anne Arundel Medical Center,h39740093,2020-11-04,14,4,18
Anne Arundel Medical Center,h39740093,2020-11-05,12,4,16
Anne Arundel Medical Center,h39740093,2020-11-06,10,4,14
Anne Arundel Medical Center,h39740093,2020-11-07,12,4,16
Anne Arundel Medical Center,h39740093,2020-11-08,12,3,15
Anne Arundel Medical Center,h39740093,2020-11-09,16,4,20
Anne Arundel Medical Center,h39740093,2020-11-10,20,3,23
Anne Arundel Medical Center,h39740093,2020-11-11,26,3,29
Anne Arundel Medical Center,h39740093,2020-11-12,26,3,29
Anne Arundel Medical Center,h39740093,2020-11-13,26,4,30
Anne Arundel Medical Center,h39740093,2020-11-14,24,4,28
Anne Arundel Medical Center,h39740093,2020-11-15,21,3,24
Anne Arundel Medical Center,h39740093,2020-11-16,24,3,27
Anne Arundel Medical Center,h39740093,2020-11-17,25,3,28
Anne Arundel Medical Center,h39740093,2020-11-18,26,2,28
Anne Arundel Medical Center,h39740093,2020-11-19,24,2,26
Anne Arundel Medical Center,h39740093,2020-11-20,28,3,31
Anne Arundel Medical Center,h39740093,2020-11-21,35,2,37
Anne Arundel Medical Center,h39740093,2020-11-22,39,3,42
Anne Arundel Medical Center,h39740093,2020-11-23,40,4,44
Anne Arundel Medical Center,h39740093,2020-11-24,44,4,48
Anne Arundel Medical Center,h39740093,2020-11-25,45,7,52
Anne Arundel Medical Center,h39740093,2020-11-26,46,10,56
Anne Arundel Medical Center,h39740093,2020-11-27,45,11,56
Anne Arundel Medical Center,h39740093,2020-11-28,45,10,55
Anne Arundel Medical Center,h39740093,2020-11-29,47,12,59
Anne Arundel Medical Center,h39740093,2020-11-30,65,10,75
Atlantic General Hospital,h92616877,2020-03-25,0,0,0
Atlantic General Hospital,h92616877,2020-03-26,0,0,0
Atlantic General Hospital,h92616877,2020-03-27,0,0,0
Atlantic General Hospital,h92616877,2020-03-28,0,0,0
Atlantic General Hospital,h92616877,2020-03-29,1,0,1
Atlantic General Hospital,h92616877,2020-03-30,1,0,1
Atlantic General Hospital,h92616877,2020-03-31,0,0,0
Atlantic General Hospital,h92616877,2020-04-01,,,
Atlantic General Hospital,h92616877,2020-04-02,0,0,0
Atlantic General Hospital,h92616877,2020-04-03,0,0,0
Atlantic General Hospital,h92616877,2020-04-04,3,3,6
Atlantic General Hospital,h92616877,2020-04-05,5,1,6
Atlantic General Hospital,h92616877,2020-04-06,0,0,0
Atlantic General Hospital,h92616877,2020-04-07,0,1,1
Atlantic General Hospital,h92616877,2020-04-08,0,1,1
Atlantic General Hospital,h92616877,2020-04-09,0,1,1
Atlantic General Hospital,h92616877,2020-04-10,0,1,1
Atlantic General Hospital,h92616877,2020-04-11,1,1,2
Atlantic General Hospital,h92616877,2020-04-12,1,2,3
Atlantic General Hospital,h92616877,2020-04-13,1,2,3
Atlantic General Hospital,h92616877,2020-04-14,4,2,6
Atlantic General Hospital,h92616877,2020-04-15,11,2,13
Atlantic General Hospital,h92616877,2020-04-16,11,2,13
Atlantic General Hospital,h92616877,2020-04-17,1,5,6
Atlantic General Hospital,h92616877,2020-04-18,2,6,8
Atlantic General Hospital,h92616877,2020-04-19,2,6,8
Atlantic General Hospital,h92616877,2020-04-20,1,5,6
Atlantic General Hospital,h92616877,2020-04-21,1,5,6
Atlantic General Hospital,h92616877,2020-04-22,1,6,7
Atlantic General Hospital,h92616877,2020-04-23,1,6,7
Atlantic General Hospital,h92616877,2020-04-24,1,5,6
Atlantic General Hospital,h92616877,2020-04-25,0,6,6
Atlantic General Hospital,h92616877,2020-04-26,0,6,6
Atlantic General Hospital,h92616877,2020-04-27,1,7,8
Atlantic General Hospital,h92616877,2020-04-28,1,7,8
Atlantic General Hospital,h92616877,2020-04-29,1,6,7
Atlantic General Hospital,h92616877,2020-04-30,1,6,7
Atlantic General Hospital,h92616877,2020-05-01,1,7,8
Atlantic General Hospital,h92616877,2020-05-02,1,7,8
Atlantic General Hospital,h92616877,2020-05-03,1,6,7
Atlantic General Hospital,h92616877,2020-05-04,1,6,7
Atlantic General Hospital,h92616877,2020-05-05,1,7,8
Atlantic General Hospital,h92616877,2020-05-06,2,5,7
Atlantic General Hospital,h92616877,2020-05-07,3,6,9
Atlantic General Hospital,h92616877,2020-05-08,2,7,9
Atlantic General Hospital,h92616877,2020-05-09,3,5,8
Atlantic General Hospital,h92616877,2020-05-10,2,5,7
Atlantic General Hospital,h92616877,2020-05-11,4,5,9
Atlantic General Hospital,h92616877,2020-05-12,5,3,8
Atlantic General Hospital,h92616877,2020-05-13,5,4,9
Atlantic General Hospital,h92616877,2020-05-14,5,4,9
Atlantic General Hospital,h92616877,2020-05-15,4,5,9
Atlantic General Hospital,h92616877,2020-05-16,2,5,7
Atlantic General Hospital,h92616877,2020-05-17,1,5,6
Atlantic General Hospital,h92616877,2020-05-18,1,5,6
Atlantic General Hospital,h92616877,2020-05-19,2,5,7
Atlantic General Hospital,h92616877,2020-05-20,2,4,6
Atlantic General Hospital,h92616877,2020-05-21,2,2,4
Atlantic General Hospital,h92616877,2020-05-22,2,2,4
Atlantic General Hospital,h92616877,2020-05-23,4,0,4
Atlantic General Hospital,h92616877,2020-05-24,5,0,5
Atlantic General Hospital,h92616877,2020-05-25,5,0,5
Atlantic General Hospital,h92616877,2020-05-26,5,0,5
Atlantic General Hospital,h92616877,2020-05-27,5,0,5
Atlantic General Hospital,h92616877,2020-05-28,4,1,5
Atlantic General Hospital,h92616877,2020-05-29,5,0,5
Atlantic General Hospital,h92616877,2020-05-30,4,0,4
Atlantic General Hospital,h92616877,2020-05-31,5,0,5
Atlantic General Hospital,h92616877,2020-06-01,5,0,5
Atlantic General Hospital,h92616877,2020-06-02,4,0,4
Atlantic General Hospital,h92616877,2020-06-03,4,0,4
Atlantic General Hospital,h92616877,2020-06-04,4,0,4
Atlantic General Hospital,h92616877,2020-06-05,4,0,4
Atlantic General Hospital,h92616877,2020-06-06,4,0,4
Atlantic General Hospital,h92616877,2020-06-07,4,0,4
Atlantic General Hospital,h92616877,2020-06-08,4,1,5
Atlantic General Hospital,h92616877,2020-06-09,5,1,6
Atlantic General Hospital,h92616877,2020-06-10,4,1,5
Atlantic General Hospital,h92616877,2020-06-11,4,1,5
Atlantic General Hospital,h92616877,2020-06-12,4,1,5
Atlantic General Hospital,h92616877,2020-06-13,4,1,5
Atlantic General Hospital,h92616877,2020-06-14,4,0,4
Atlantic General Hospital,h92616877,2020-06-15,2,0,2
Atlantic General Hospital,h92616877,2020-06-16,0,0,0
Atlantic General Hospital,h92616877,2020-06-17,1,0,1
Atlantic General Hospital,h92616877,2020-06-18,1,0,1
Atlantic General Hospital,h92616877,2020-06-19,1,0,1
Atlantic General Hospital,h92616877,2020-06-20,0,1,1
Atlantic General Hospital,h92616877,2020-06-21,0,1,1
Atlantic General Hospital,h92616877,2020-06-22,0,1,1
Atlantic General Hospital,h92616877,2020-06-23,0,1,1
Atlantic General Hospital,h92616877,2020-06-24,0,1,1
Atlantic General Hospital,h92616877,2020-06-25,0,1,1
Atlantic General Hospital,h92616877,2020-06-26,0,1,1
Atlantic General Hospital,h92616877,2020-06-27,0,2,2
Atlantic General Hospital,h92616877,2020-06-28,1,2,3
Atlantic General Hospital,h92616877,2020-06-29,1,2,3
Atlantic General Hospital,h92616877,2020-06-30,0,4,4
Atlantic General Hospital,h92616877,2020-07-01,1,3,4
Atlantic General Hospital,h92616877,2020-07-02,1,3,4
Atlantic General Hospital,h92616877,2020-07-03,0,3,3
Atlantic General Hospital,h92616877,2020-07-04,0,3,3
Atlantic General Hospital,h92616877,2020-07-05,0,3,3
Atlantic General Hospital,h92616877,2020-07-06,0,4,4
Atlantic General Hospital,h92616877,2020-07-07,0,2,2
Atlantic General Hospital,h92616877,2020-07-08,1,2,3
Atlantic General Hospital,h92616877,2020-07-09,2,2,4
Atlantic General Hospital,h92616877,2020-07-10,2,2,4
Atlantic General Hospital,h92616877,2020-07-11,1,2,3
Atlantic General Hospital,h92616877,2020-07-12,1,2,3
Atlantic General Hospital,h92616877,2020-07-13,1,2,3
Atlantic General Hospital,h92616877,2020-07-14,1,2,3
Atlantic General Hospital,h92616877,2020-07-15,0,2,2
Atlantic General Hospital,h92616877,2020-07-16,1,1,2
Atlantic General Hospital,h92616877,2020-07-17,1,1,2
Atlantic General Hospital,h92616877,2020-07-18,3,1,4
Atlantic General Hospital,h92616877,2020-07-19,2,2,4
Atlantic General Hospital,h92616877,2020-07-20,4,2,6
Atlantic General Hospital,h92616877,2020-07-21,3,5,8
Atlantic General Hospital,h92616877,2020-07-22,5,5,10
Atlantic General Hospital,h92616877,2020-07-23,6,5,11
Atlantic General Hospital,h92616877,2020-07-24,4,3,7
Atlantic General Hospital,h92616877,2020-07-25,5,3,8
Atlantic General Hospital,h92616877,2020-07-26,4,3,7
Atlantic General Hospital,h92616877,2020-07-27,3,3,6
Atlantic General Hospital,h92616877,2020-07-28,6,3,9
Atlantic General Hospital,h92616877,2020-07-29,7,3,10
Atlantic General Hospital,h92616877,2020-07-30,4,3,7
Atlantic General Hospital,h92616877,2020-07-31,6,3,9
Atlantic General Hospital,h92616877,2020-08-01,5,3,8
Atlantic General Hospital,h92616877,2020-08-02,5,3,8
Atlantic General Hospital,h92616877,2020-08-03,3,3,6
Atlantic General Hospital,h92616877,2020-08-04,1,2,3
Atlantic General Hospital,h92616877,2020-08-05,1,2,3
Atlantic General Hospital,h92616877,2020-08-06,2,2,4
Atlantic General Hospital,h92616877,2020-08-07,,2,
Atlantic General Hospital,h92616877,2020-08-08,0,2,2
Atlantic General Hospital,h92616877,2020-08-09,1,2,3
Atlantic General Hospital,h92616877,2020-08-10,3,2,5
Atlantic General Hospital,h92616877,2020-08-11,2,2,4
Atlantic General Hospital,h92616877,2020-08-12,3,3,6
Atlantic General Hospital,h92616877,2020-08-13,4,2,6
Atlantic General Hospital,h92616877,2020-08-14,4,2,6
Atlantic General Hospital,h92616877,2020-08-15,3,2,5
Atlantic General Hospital,h92616877,2020-08-16,4,2,6
Atlantic General Hospital,h92616877,2020-08-17,5,0,5
Atlantic General Hospital,h92616877,2020-08-18,6,0,6
Atlantic General Hospital,h92616877,2020-08-19,5,0,5
Atlantic General Hospital,h92616877,2020-08-20,3,0,3
Atlantic General Hospital,h92616877,2020-08-21,3,0,3
Atlantic General Hospital,h92616877,2020-08-22,3,0,3
Atlantic General Hospital,h92616877,2020-08-23,2,0,2
Atlantic General Hospital,h92616877,2020-08-24,3,0,3
Atlantic General Hospital,h92616877,2020-08-25,2,1,3
Atlantic General Hospital,h92616877,2020-08-26,4,1,5
Atlantic General Hospital,h92616877,2020-08-27,4,1,5
Atlantic General Hospital,h92616877,2020-08-28,2,0,2
Atlantic General Hospital,h92616877,2020-08-29,1,1,2
Atlantic General Hospital,h92616877,2020-08-30,1,1,2
Atlantic General Hospital,h92616877,2020-08-31,2,2,4
Atlantic General Hospital,h92616877,2020-09-01,2,2,4
Atlantic General Hospital,h92616877,2020-09-02,1,2,3
Atlantic General Hospital,h92616877,2020-09-03,2,1,3
Atlantic General Hospital,h92616877,2020-09-04,2,0,2
Atlantic General Hospital,h92616877,2020-09-05,2,0,2
Atlantic General Hospital,h92616877,2020-09-06,3,0,3
Atlantic General Hospital,h92616877,2020-09-07,3,0,3
Atlantic General Hospital,h92616877,2020-09-08,5,0,5
Atlantic General Hospital,h92616877,2020-09-09,4,0,4
Atlantic General Hospital,h92616877,2020-09-10,4,0,4
Atlantic General Hospital,h92616877,2020-09-11,5,0,5
Atlantic General Hospital,h92616877,2020-09-12,4,0,4
Atlantic General Hospital,h92616877,2020-09-13,4,0,4
Atlantic General Hospital,h92616877,2020-09-14,3,0,3
Atlantic General Hospital,h92616877,2020-09-15,2,0,2
Atlantic General Hospital,h92616877,2020-09-16,3,0,3
Atlantic General Hospital,h92616877,2020-09-17,3,0,3
Atlantic General Hospital,h92616877,2020-09-18,4,0,4
Atlantic General Hospital,h92616877,2020-09-19,3,0,3
Atlantic General Hospital,h92616877,2020-09-20,2,0,2
Atlantic General Hospital,h92616877,2020-09-21,2,0,2
Atlantic General Hospital,h92616877,2020-09-22,2,0,2
Atlantic General Hospital,h92616877,2020-09-23,3,0,3
Atlantic General Hospital,h92616877,2020-09-24,3,0,3
Atlantic General Hospital,h92616877,2020-09-25,4,0,4
Atlantic General Hospital,h92616877,2020-09-26,3,1,4
Atlantic General Hospital,h92616877,2020-09-27,5,1,6
Atlantic General Hospital,h92616877,2020-09-28,5,1,6
Atlantic General Hospital,h92616877,2020-09-29,5,1,6
Atlantic General Hospital,h92616877,2020-09-30,3,0,3
Atlantic General Hospital,h92616877,2020-10-01,1,0,1
Atlantic General Hospital,h92616877,2020-10-02,2,0,2
Atlantic General Hospital,h92616877,2020-10-03,2,0,2
Atlantic General Hospital,h92616877,2020-10-04,1,0,1
Atlantic General Hospital,h92616877,2020-10-05,2,0,2
Atlantic General Hospital,h92616877,2020-10-06,3,0,3
Atlantic General Hospital,h92616877,2020-10-07,3,0,3
Atlantic General Hospital,h92616877,2020-10-08,3,0,3
Atlantic General Hospital,h92616877,2020-10-09,2,0,2
Atlantic General Hospital,h92616877,2020-10-10,2,0,2
Atlantic General Hospital,h92616877,2020-10-11,2,0,2
Atlantic General Hospital,h92616877,2020-10-12,3,0,3
Atlantic General Hospital,h92616877,2020-10-13,3,0,3
Atlantic General Hospital,h92616877,2020-10-14,3,0,3
Atlantic General Hospital,h92616877,2020-10-15,3,0,3
Atlantic General Hospital,h92616877,2020-10-16,3,0,3
Atlantic General Hospital,h92616877,2020-10-17,2,1,3
Atlantic General Hospital,h92616877,2020-10-18,2,1,3
Atlantic General Hospital,h92616877,2020-10-19,3,0,3
Atlantic General Hospital,h92616877,2020-10-20,2,0,2
Atlantic General Hospital,h92616877,2020-10-21,4,0,4
Atlantic General Hospital,h92616877,2020-10-22,4,0,4
