hospital,zipcode,lat,long
Vaughan Regional Medical Center Parkway Campus,36701,32.483972,-87.054642
Dekalb Regional Medical Center,35968,34.551098,-85.738915
Elmore Community Hospital,36092,32.617657,-86.200531
Community Hospital Inc,36078,32.546979,-85.942735
D W Mcmillan Memorial Hospital,36426,31.140984,-87.071111
Atmore Community Hospital,36502,31.147733,-87.494821
Gadsden Regional Medical Center,35903,34.02427,-85.863703
Riverview Regional Medical Center,35901,34.049376,-85.934301
Fayette Medical Center,35555,33.658512,-87.815637
Russellville Hospital,35653,34.518191,-87.871965
Red Bay Hospital,35582,34.4868,-88.112899
Wiregrass Medical Center,36340,31.051672,-85.890943
Greene County Hospital,35462,32.920473,-87.967463
Hale County Hospital,36744,32.695952,-87.599716
Southeast Health Medical Center,36301,31.140065,-85.398289
Flowers Hospital,36305,31.204572,-85.496004
"Noland Hospital Dothan Ii, Llc",36302,36.41568569008179,-89.93698683895991
Highlands Medical Center,35768,34.768891,-86.104193
Children'S Hospital Of Alabama,35233,33.508748,-86.801964
Princeton Baptist Medical Center,35211,33.455086,-86.856459
St Vincent'S East,35235,33.624485,-86.647907
University Of Alabama Hospital,35233,33.508748,-86.801964
St Vincent'S Birmingham,35205,33.494995,-86.808077
Grandview Medical Center,35243,33.440918,-86.741508
"Noland Hospital Birmingham Ii, Llc",35235,33.624485,-86.647907
"Medical West, An Affiliate Of Uab Health System",35021,36.41568569008179,-89.93698683895991
Select Specialty Hospital - Birmingham,35209,33.466348,-86.811516
Brookwood Baptist Medical Center,35209,33.466348,-86.811516
North Alabama Medical Center,35630,34.82298,-87.661652
Lawrence Medical Center,35650,34.447233,-87.308593
East Alabama Medical Center,36801,32.694763,-85.395626
Athens Limestone Hospital,35611,34.773833,-87.084145
North Alabama Specialty Hospital,35611,34.773833,-87.084145
Huntsville Hospital,35801,34.725269,-86.560866
Crestwood Medical Center,35801,34.725269,-86.560866
Whitfield Regional Hospital,36732,32.429314,-87.914179
Marion Regional Medical Center,35570,34.16375,-87.993165
Northwest Medical Center,35594,33.932693,-87.774369
Marshall Medical Centers South Campus,35957,34.196159,-86.196898
Infirmary Ltac Hospital,36607,30.69856,-88.10576
Usa Health University Hospital,36617,30.716026,-88.095707
Springhill Memorial Hospital,36608,30.681503,-88.300213
Mobile Infirmary Medical Center,36652,36.41568569008179,-89.93698683895991
Usa Health Children'S & Women'S Hospital,36604,30.682213,-88.068134
Providence Hospital,36608,30.681503,-88.300213
Monroe County Hospital,36460,31.518972,-87.304829
Jackson Hospital & Clinic Inc,36106,32.35282,-86.257585
Baptist Medical Center South,36116,32.273588,-86.214473
Baptist Medical Center East,36117,32.378728,-86.145011
"Noland Hospital Montgomery Ii, Llc",36106,32.35282,-86.257585
Decatur Morgan Hospital-Decatur Campus,35601,34.608016,-87.011052
Troy Regional Medical Center,36081,31.903745,-85.898152
Tanner Medical Center-East Alabama,36278,33.332433,-85.523567
Jack Hughston Memorial Hospital,36867,32.495317,-85.024588
St Vincent'S St Clair,35125,33.633384,-86.288692
Shelby Baptist Medical Center,35007,33.215623,-86.797656
Hill Hospital Of Sumter County,36925,32.432254,-88.183591
Citizens Baptist Medical Center,35161,36.41568569008179,-89.93698683895991
Coosa Valley Medical Center,35150,33.189306,-86.238384
Lake Martin Community Hospital,36853,32.816523,-85.76722
Russell Medical Center,35010,32.916719,-85.940589
Dch Regional Medical Center,35401,33.170238,-87.616169
"Noland Hospital Tuscaloosa Ii, Llc",35401,33.170238,-87.616169
Walker Baptist Medical Center,35502,36.41568569008179,-89.93698683895991
Washington County Hospital,36518,31.459303,-88.28404
J Paul Jones Hospital,36726,31.963626,-87.295936
Lakeland Community Hospital,35565,34.23696,-87.563402
St Elias Specialty Hospital,99503,62.043951,-158.175667
Providence Alaska Medical Center,99508,61.2014,-149.817502
Alaska Regional Hospital,99508,61.2014,-149.817502
Cordova Community Medical Center,99574,60.893995,-145.109037
Fairbanks Memorial Hospital,99701,67.094545,-149.336012
Bartlett Regional Hospital,99801,58.37291,-134.178445
South Peninsula Hospital,99603,59.538519,-151.186927
Central Peninsula General Hospital,99669,60.36015,-151.017884
Ketchikan Medical Center,99901,55.540405,-131.105347
Providence Kodiak Island Medical Ctr,99615,57.650481,-153.261105
Mat-Su Regional Medical Center,99645,61.62449,-148.979752
Providence Seward Hospital,99664,60.076335,-149.492662
Providence Valdez Medical Center,99686,61.15008,-146.810141
Petersburg Medical Center,99833,56.926675,-133.120372
White Mountain Regional Medical Center,85938,34.149301,-109.336532
Benson Hospital,85602,32.167495,-110.411875
Copper Queen Community Hospital,85603,31.432669,-109.919056
"Northern Cochise Community Hospital, Inc.",85643,32.407245,-109.96549
Canyon Vista Medical Center,85635,31.571011,-110.170235
Flagstaff Medical Center,86001,35.287661,-111.639303
Page Hospital,86040,36.705496,-111.427538
Cobre Valley Regional Medical Center,85501,33.559004,-110.769126
Banner Payson Medical Center,85541,34.194537,-111.304309
Mt. Graham Regional Medical Center,85546,32.813752,-109.35523
La Paz Regional Hospital,85344,34.080654,-114.216239
Honorhealth Scottsdale Shea Medical Center,85260,33.610739,-111.891472
Abrazo Central Campus,85015,33.508664,-112.102018
St Luke'S Medical Center,85006,33.465234,-112.048771
Abrazo Arrowhead Campus,85308,33.660382,-112.184964
Arizona Spine And Joint Hospital,85206,33.396296,-111.717019
Arizona Specialty Hospital,85224,33.323672,-111.878461
"Mountain Vista Medical Center, Lp",85209,33.37545,-111.63867
O.A.S.I.S. Hospital,85008,33.462954,-111.985178
Curahealth Northwest Phoenix,85381,33.609172,-112.230381
Honorhealth Scottsdale Thompson Peak Med Ctr,85255,33.668187,-111.822523
St. Joseph'S Hospital And Medical Center,85013,33.511087,-112.084749
Abrazo Scottsdale Campus,85032,33.62592,-112.002503
Banner Desert Medical Center,85202,33.379757,-111.875018
Banner Thunderbird Medical Center,85306,33.624556,-112.176589
Western Regional Medical Center,85338,33.372975,-112.410829
Wickenburg Community Hospital,85390,33.903622,-112.875667
"Core Institute Specialty Hospital, The",85015,33.508664,-112.102018
Banner Estrella Medical Center,85037,33.486707,-112.268258
Valleywise Health Medical Center,85008,33.462954,-111.985178
Dignity Health - Arizona General Hospital,85339,33.237666,-112.158587
Dignity Health Arizona General Hospital,85212,33.322324,-111.635342
Select Specialty Hospital Phoenix,85013,33.511087,-112.084749
Chandler Regional Medical Center,85224,33.323672,-111.878461
Mercy Gilbert Medical Center,85297,33.277771,-111.731454
Banner - University Medical Center Phoenix,85006,33.465234,-112.048771
Banner Del E. Webb Medical Center,85375,33.685809,-112.366168
Honorhealth Scottsdale Osborn Medical Center,85251,33.493513,-111.919239
Mayo Clinic Hospital,85054,33.678536,-111.941095
Phoenix Children'S Hospital,85016,33.511517,-112.019166
Banner Baywood Medical Center,85206,33.396296,-111.717019
Banner Heart Hospital,85206,33.396296,-111.717019
Abrazo West Campus,85395,33.478693,-112.395249
Banner Gateway Medical Center,85234,33.361667,-111.741003
Select Specialty Hospital Arizona,85006,33.465234,-112.048771
"Kpc Promise Hospital Of Phoenix, Llc",85203,33.450359,-111.802894
Honorhealth Deer Valley Medical Center,85027,33.679761,-112.092529
Honorhealth John C. Lincoln Medical Center,85020,33.567351,-112.053591
Suncrest Health Care,85040,33.406479,-112.025469
Banner Boswell Medical Center,85351,33.605791,-112.28406
Havasu Regional Medical Center,86403,34.480257,-114.348504
Kingman Regional Medical Center,86409,35.461006,-114.01806
Valley View Medical Center,86426,35.007773,-114.569324
Western Arizona Regional Medical Center,86442,35.089613,-114.560868
Summit Healthcare Regional Medical Center,85901,34.314806,-110.024014
Little Colorado Medical Center,86047,35.113436,-110.671248
St Joseph'S Hospital,85711,32.215235,-110.883394
Cornerstone Specialty Hospitals Tucson,85710,32.214135,-110.823725
Santa Cruz Valley Regional Hospital,85614,31.814301,-110.9194
Tucson Medical Center,85712,32.252886,-110.886567
St. Mary'S Hospital,85745,32.253908,-111.08014
Curahealth Tucson,85711,32.215235,-110.883394
Oro Valley Hospital,85755,32.468251,-110.981438
Banner-University Medical Center South Campus,85713,32.19457,-111.014995
Banner - University Medical Center Tucson Campus,85724,32.240828,-110.945636
Banner Casa Grande Medical Center,85122,32.917126,-111.744208
Banner Goldfield Medical Center,85120,33.402386,-111.567878
Banner Ironwood Medical Center,85140,33.244531,-111.543812
Holy Cross Hospital,85621,31.387978,-110.912001
Verde Valley Medical Center,86326,34.700031,-112.023634
Yavapai Regional Medical Center,86301,34.587023,-112.429033
Yuma Regional Medical Center,85364,32.70226,-114.658013
Baptist Health Medical Center-Stuttgart,72160,34.427743,-91.528699
Nea Baptist Memorial Hospital,72405,36.41568569008179,-89.93698683895991
"Dewitt Hospital & Nursing Home, Inc",72042,34.26058,-91.324459
Ashley County Medical Center,71635,33.131052,-91.996505
Baxter Regional Medical Center,72653,36.342381,-92.38543
Mercy Hospital Northwest Arkansas,72758,36.299665,-94.13721
Ozarks Community Hospital Of Gravette,72736,36.413616,-94.465023
Siloam Springs Regional Hospital,72761,36.168814,-94.454856
North Arkansas Regional Medical Center,72601,36.238028,-93.085992
Bradley County Medical Center,71671,33.601989,-92.096049
Eureka Springs Hospital Commission,72632,36.373213,-93.743893
Mercy Hospital Berryville,72616,36.329139,-93.551929
Chicot Memorial Medical Center,71653,33.343373,-91.251768
Baptist Health Medical Center-Arkadelphia,71923,34.085089,-93.04527
Piggott Community Hospital ,72454,36.406767,-90.202572
Baptist Health Medical Center Heber Spings,72543,35.450539,-91.987292
Magnolia Regional Medical Center,71753,33.225678,-93.184674
Chi St Vincent Morrilton,72110,35.156495,-92.781326
Arkansas Continued Care Hospital Of Jonesboro,72401,35.886344,-90.656774
St Bernards Medical Center,72401,35.886344,-90.656774
Baptist Health - Van Buren,72956,35.466396,-94.350067
"Baptist Memorial Hospital-Crittenden, Inc",72301,35.144685,-90.189236
Crossridge Community Hospital,72396,35.230088,-90.822532
Dallas County Medical Center,71742,33.852672,-92.448887
Mcgehee Hospital,71654,33.62109,-91.371079
Delta Memorial Hospital,71639,33.901476,-91.520374
Drew Memorial Hospital,71655,33.639802,-91.749587
Conway Regional Health System,72034,35.049921,-92.486049
Baptist Health Medical Center- Conway,72032,35.065559,-92.362675
Mercy Hospital Turner Memorial,72949,35.584277,-93.805165
Fulton County Hospital,72576,36.348523,-91.856028
Levi Hospital,71901,34.526453,-92.974072
National Park Medical Center,71901,34.526453,-92.974072
Christus Dubuis Hospital Of Hot Springs,71913,34.449239,-93.094266
Chi St. Vincent Hospital Hot Springs,71903,36.41568569008179,-89.93698683895991
Arkansas Methodist Medical Center,72450,36.079546,-90.51644
Wadley Regional Medical Center At Hope,71801,33.645886,-93.598921
Baptist Health Medical Center-Hot Springs County,72104,34.342042,-92.821803
Howard Memorial Hospital,71852,33.997681,-93.855553
White River Medical Center,72503,36.41568569008179,-89.93698683895991
"Izard County Medical Center, Llc",72519,36.134123,-92.180309
Jefferson Regional Medical Center,71603,34.121075,-92.088127
Johnson Regional Medical Center,72830,35.509167,-93.515619
Lawrence Memorial Hospital,72476,36.049514,-90.919912
Little River Memorial Hospital,71822,33.663095,-94.156267
Mercy Hospital Booneville,72927,35.080054,-93.939867
North Logan Mercy Hospital,72855,35.258968,-93.683862
Great River Medical Center,72315,35.902669,-89.903375
South Missississpi County Regional Medical Center,72370,35.71448,-90.027718
Ouachita County Medical Center,71701,33.586463,-92.81969
Helena Regional Medical Center,72342,34.448956,-90.684489
Mena Regional Health System,71953,34.608016,-94.197193
St Marys Regional Medical Center,72801,35.279126,-93.140877
Arkansas Surgical Hospital,72118,34.840468,-92.326035
Baptist Health Medical Center-Little Rock,72205,34.750326,-92.351206
St Vincent Medical Center/North,72120,34.902043,-92.240819
Cornerstone Hospital Little Rock,72205,34.750326,-92.351206
Baptist Health Extended Care Hospital-Lr Inc,72205,34.750326,-92.351206
Chi-St Vincent Infirmary,72205,34.750326,-92.351206
Uams Medical Center,72205,34.750326,-92.351206
Baptist Health Medical Center North Little Rock,72117,34.769847,-92.145446
"Arkansas Heart Hospital, Llc",72211,34.750556,-92.417622
Arkansas Children'S Hospital,72202,34.730566,-92.233004
Five Rivers Medical Center,72455,36.319648,-91.029167
Forrest City Medical Center,72335,34.994363,-90.745986
Saline Memorial Hospital,72015,34.485899,-92.585099
Mercy Hospital Waldron,72958,34.903819,-94.137036
Mercy Hospital Fort Smith,72903,35.350978,-94.361247
Select Speciality Hospital-Fort Smith Inc,72901,35.366187,-94.416458
Baptist Health - Fort Smith,72901,35.366187,-94.416458
Christus Dubuis Hospital Of Fort Smith,72903,35.350978,-94.361247
Stone County Medical Center,72560,35.851011,-92.094066
Medical Center Of South Arkansas,71730,33.198844,-92.627076
Ozark Health,72031,35.633661,-92.531647
Regency Hospital Of Northwest Arkansas,72764,36.175682,-94.060223
Washington Regional Medical Center,72703,36.118332,-94.043243
Woodridge Of The Ozarks,72762,36.18165,-94.23068
Northwest Health Physicians Specialty Hospital,72703,36.118332,-94.043243
"Arkansas Children'S Northwest, Inc",72762,36.18165,-94.23068
White County Medical Center,72143,35.232983,-91.736474
Advanced Care Hospital White County,72143,35.232983,-91.736474
Dardanelle Hospital,72834,35.168824,-93.183821
Chambers Memorial Hospital,72833,35.021703,-93.472595
Alta Bates Summit Medical Center - Alta Bates Camp,94705,37.865183,-122.238209
Kaiser Foundation Hospital - Fremont,94538,37.501368,-121.956753
St Rose Hospital,94545,37.605905,-122.126873
Alta Bates Summit Medical Center,94609,37.834403,-122.264368
Alameda Hospital,94501,37.773793,-122.278115
Ucsf Benioff Children'S Hospital Oakland,94609,37.834403,-122.264368
Highland Hospital,94602,37.80432,-122.207545
Kaiser Foundation Hospital - San Leandro,94577,37.713275,-122.16735
Kaiser Foundation Hospital - Oakland/Richmond,94611,37.82935,-122.203507
Stanford Health Care - Valleycare,94588,37.792682,-121.86059
Eden Medical Center,94546,37.714509,-122.079542
Kindred Hospital - San Francisco Bay Area,94577,37.713275,-122.16735
Washington Hospital,94538,37.501368,-121.956753
Sutter Amador Hospital,95642,38.343033,-120.760921
Oroville Hospital,95966,39.47536,-121.41411
Enloe Medical Center,95926,39.745628,-121.843834
Orchard Hospital,95948,39.339264,-121.770785
Mark Twain Medical Center,95249,38.189115,-120.638708
Colusa Medical Center,95932,39.266469,-121.978604
John Muir Medical Center - Concord Campus,94520,37.995285,-122.040627
Kaiser Foundation Hospital - Walnut Creek,94596,37.889098,-122.037553
Contra Costa Regional Medical Center,94553,37.993892,-122.136441
John Muir Medical Center - Walnut Creek Campus,94598,37.899936,-121.999244
Sutter Delta Medical Center,94509,37.996501,-121.812301
Kaiser Foundation Hospital - Antioch,94531,37.965765,-121.775818
San Ramon Regional Medical Center,94583,37.75512,-121.972699
Sutter Coast Hospital,95531,41.819578,-124.065667
Barton Memorial Hospital,96150,38.869825,-120.008594
Marshall Medical Center,95667,38.734925,-120.789952
Clovis Community Medical Center,93611,36.825296,-119.68019
Adventist Health Reedley,93654,36.658709,-119.401274
Community Regional Medical Center,93721,36.732891,-119.783739
Saint Agnes Medical Center,93710,36.822349,-119.760243
Kaiser Foundation Hospital - Fresno,93720,36.862209,-119.760793
Fresno Heart And Surgical Hospital,93720,36.862209,-119.760793
Valley Children'S Hospital,93636,36.984885,-119.873914
Fresno Surgical Hospital,93710,36.822349,-119.760243
Glenn Medical Center,95988,39.491654,-122.26208
St Joseph Hospital,95501,40.798659,-124.151583
Jerold Phelps Community Hospital,95542,40.080405,-123.783948
Redwood Memorial Hospital,95540,40.578828,-124.136869
Mad River Community Hospital,95521,40.855694,-124.066898
El Centro Regional Medical Center,92243,32.770197,-115.59859
Pioneers Memorial Healthcare District,92227,32.990121,-115.358757
Southern Inyo Hospital,93545,36.556387,-118.054221
Northern Inyo Hospital,93514,37.492115,-118.390408
Bakersfield Heart Hospital,93308,35.621087,-118.789677
Kern Valley Healthcare District,93240,35.617546,-118.452285
Kern Medical Center,93306,35.468183,-118.779649
Ridgecrest Regional Hospital,93555,35.606509,-117.683472
Bakersfield Memorial Hospital,93301,35.384336,-119.020562
Adventist Health Bakersfield,93301,35.384336,-119.020562
Adventist Health Delano,93215,35.779507,-119.200825
Mercy Hospital,93301,35.384336,-119.020562
Adventist Health Tehachapi Valley,93561,35.118772,-118.493811
Good Samaritan Hospital,93308,35.621087,-118.789677
Adventist Health Hanford,93230,36.29223,-119.622676
Adventist Health Clearlake,95422,38.973012,-122.623922
Sutter Lakeside Hospital,95453,39.045931,-122.941077
Banner Lassen Medical Center,96130,40.551757,-120.675673
Pomona Valley Hospital Medical Center,91767,34.083086,-117.737997
Providence Saint Joseph Medical Ctr,91505,34.173885,-118.346937
Ronald Reagan U C L A Medical Center,90095,34.0712,-118.443523
Alhambra Hospital Medical Center,91801,34.090728,-118.127527
Lac/Harbor-Ucla Med Center,90502,33.833181,-118.292062
Emanate Health Inter-Community Hospital,91723,34.084747,-117.886844
Kaiser Foundation Hospital - Woodland Hills,91367,34.177311,-118.615704
Los Angeles Community Hospital,90023,34.022502,-118.199613
Kaiser Foundation Hospital - Baldwin Park,91706,34.09741,-117.968269
Centinela Hospital Medical Center,90301,33.956526,-118.358654
Sherman Oaks Hospital,91403,34.147149,-118.463365
Barlow Respiratory Hospital,90026,34.080017,-118.262643
Kindred Hospital South Bay,90247,33.890853,-118.297967
Pih Health Hospital-Whittier,90602,33.972782,-118.022066
Memorial Care Miller Children'S &  Women'S Hosp Lb,90806,33.805401,-118.187701
Memoriacare Long Beach Medical Center,90806,33.805401,-118.187701
San Dimas Community Hospital,91773,34.110186,-117.81039
Providence Little Co Of Mary Med Ctr San Pedro,90732,33.74212,-118.312878
Kindred Hospital - Los Angeles,90056,33.988047,-118.370361
Lac/Olive View-Ucla Medical Center,91342,34.326584,-118.382261
Hollywood Presbyterian Medical Center,90027,34.127194,-118.295647
White Memorial Medical Center,90033,34.05038,-118.211991
Community Hospital Of Huntington Park,90255,33.979248,-118.217438
Palmdale Regional Medical Center,93552,34.570867,-118.023744
Antelope Valley Hospital,93534,34.713292,-118.15292
St Mary Medical Center,90813,33.782259,-118.196793
Providence Saint John'S Health Center,90404,34.026608,-118.473643
Torrance Memorial Medical Center,90509,36.41568569008179,-89.93698683895991
Pih Hospital - Downey,90241,33.940445,-118.129022
Huntington Memorial Hospital,91109,36.41568569008179,-89.93698683895991
Memorial Hospital Of Gardena,90247,33.890853,-118.297967
Lakewood Regional Medical Center,90712,33.849034,-118.147902
California Hospital Medical Center La,90015,34.039378,-118.2663
Keck Hospital Of Usc,90033,34.05038,-118.211991
Mission Community Hospital,91402,34.222506,-118.444689
West Hills Hospital & Medical Center,91307,34.200834,-118.6649
Greater El Monte Community Hospital,91733,34.046243,-118.053748
Garfield Medical Center,91754,34.052922,-118.143465
Providence Little Company Of Mary Med Ctr Torrance,90503,33.840398,-118.353715
Methodist Hospital Of Southern Ca,91006,34.136258,-118.026704
Providence Holy Cross Medical Center,91346,36.41568569008179,-89.93698683895991
East Los Angeles Doctors Hospital,90023,34.022502,-118.199613
Cedars-Sinai Medical Center,90048,34.072924,-118.37271
Usc Kenneth Norris Jr Cancer Hospital,90089,34.020221,-118.286035
Providence-Cedars Sinai Tarzana Medical Center,91356,34.155097,-118.547553
"Martin Luther King, Jr. Community Hospital",90059,33.926262,-118.249883
Casa Colina Hospital,91767,34.083086,-117.737997
Kindred Hospital Baldwin Park,91706,34.09741,-117.968269
Kindred Hospital Paramount,90723,33.898883,-118.166629
Monrovia Memorial Hospital,91016,34.1528,-118.000482
Emanate Health Foothill Presbyterian Hospital,91740,34.119367,-117.855054
Glendale Mem Hospital & Hlth Center,91204,34.136194,-118.260934
Kaiser Foundation Hospital - South Bay,90710,33.799904,-118.298661
Saint Francis Medical Center,90262,33.923533,-118.200705
Glendale Adventist Medical Center,91206,34.160359,-118.213769
Long Beach Memorial Medical Center,90806,33.805401,-118.187701
Lac+Usc Medical Center,90033,34.05038,-118.211991
Pacifica Hospital Of The Valley,91352,34.230854,-118.365856
Kaiser Foundation Hospital - West La,90034,34.030578,-118.399613
Henry Mayo Newhall  Hospital,91355,34.439855,-118.644401
Lac/Rancho Los Amigos National Rehabilitation  Ctr,90242,33.921793,-118.140588
Whittier Hospital Medical Center,90605,33.950295,-118.024352
Cedar-Sinai Marina Del Rey Hospital,90291,33.993396,-118.465193
Monterey Park Hospital,91754,34.052922,-118.143465
Olympia Medical Center,90036,34.07041,-118.350411
"L A Downtown Medical Center, Llc",90026,34.080017,-118.262643
Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,90404,34.026608,-118.473643
Coast Plaza Hospital,90650,33.906956,-118.08264
College Medical Center,90806,33.805401,-118.187701
Catalina Island Medical Center,90704,33.399248,-118.435601
Kindred Hospital -- La Mirada,90638,33.902045,-118.008961
Beverly Hospital,90640,34.015444,-118.111012
Children'S Hosp Of Los Angeles,90027,34.127194,-118.295647
"West Covina Medical Center, Inc",91790,34.066964,-117.937007
Northridge Hospital Medical Center,91325,34.237519,-118.517712
San Gabriel Valley Medical Center,91776,34.090776,-118.095091
Kaiser Foundation Hospital - Los Angeles,90027,34.127194,-118.295647
Valley Presbyterian Hospital,91406,34.195685,-118.490752
Usc Verdugo Hills Hospital,91209,36.41568569008179,-89.93698683895991
Kaiser Foundation Hospital - Downey,90242,33.921793,-118.140588
City Of Hope Helford Clinical Research Hospital,91010,34.141586,-117.957627
Southern California Hospital At Hollywood,90028,34.099912,-118.326912
Encino Hospital Medical Center,91436,34.149588,-118.489708
Kaiser Foundation Hospital - Panorama City,91402,34.222506,-118.444689
Madera Community Hospital,93637,36.918079,-120.185933
Marinhealth Medical Center,94904,37.945512,-122.56012
Kentfield Hospital,94904,37.945512,-122.56012
Novato Community Hospital,94945,38.134068,-122.52719
Kaiser Foundation Hospital,94903,38.022366,-122.555605
John C Fremont Healthcare District,95338,37.508765,-119.982496
Mendocino Coast District Hospital,95437,39.487185,-123.741963
Adventist Health Ukiah Valley,95482,39.135023,-123.259338
Adventist Health Howard Memorial,95490,39.492842,-123.340973
Memorial Hospital Los Banos,93635,37.068068,-120.843579
Mercy Medical Center,95340,37.345785,-120.42415
Surprise Valley Community Hospital,96104,41.506276,-120.143106
Modoc Medical Center,96101,41.452711,-120.53846
Mammoth Hospital,93546,37.548799,-118.839818
Natividad Medical Center,93906,36.722714,-121.633649
Community Hospital Of The Monterey Peninsula,93940,36.57469,-121.840854
George L Mee Memorial Hospital,93930,36.20506,-121.010363
Salinas Valley Memorial Hospital,93901,36.636344,-121.623978
Adventist Health St Helena,94574,38.542448,-122.419923
Queen Of The Valley Medical Center,94558,38.442011,-122.23832
Tahoe Forest Hospital,96161,39.313089,-120.207783
Sierra Nevada Memorial Hospital,95945,39.196387,-120.972289
Kindred Hospital Brea,92821,33.927561,-117.887086
Children'S Hospital Of Orange County,92868,33.788145,-117.87655
Fountain Valley Regional Hospital & Medical Center,92708,33.710582,-117.951129
South Coast Global Medical Center,92704,33.721131,-117.90511
Children'S Hospital At Mission,92691,33.611945,-117.665867
Healthbridge Children'S Hospital - Orange,92866,33.784615,-117.844774
Los Alamitos Medical Center,90720,33.795012,-118.062692
Providence St. Jude Medical Center,92835,33.901886,-117.916639
La Palma Intercommunity Hospital,90623,33.850616,-118.039565
Anaheim Global Medical Center,92805,33.830457,-117.905941
Foothill Regional Medical Center,92780,33.734005,-117.819163
College Hospital Costa Mesa,92627,33.647763,-117.919761
University Of California Irvine Medical Center,92868,33.788145,-117.87655
Huntington Beach Hospital,92647,33.723228,-118.008692
Providence Mission Hospital,92691,33.611945,-117.665867
Placentia Linda Hospital,92870,33.881158,-117.854783
Hoag Orthopedic Institute,92618,33.666942,-117.732094
Memorialcare Saddleback Medical Center,92653,33.591304,-117.697512
Kaiser Foundation Hospital - Orange County - Anahe,92806,33.83796,-117.870494
Hoag Memorial Hospital Presbyterian,92663,33.623208,-117.933903
Memorialcare Orange Coast Medical Center,92708,33.710582,-117.951129
Providence St. Joseph Hospital,92868,33.788145,-117.87655
Chapman Global Medical Center,92869,33.80845,-117.791737
Orange County Global Medical Center,92705,33.765639,-117.790075
Ahmc Anaheim Regional Medical Center,92801,33.844983,-117.952151
Kindred Hospital Westminster,92683,33.752468,-117.993933
Garden Grove Hospital & Medical Center,92843,33.763905,-117.931382
West Anaheim Medical Center,92804,33.818246,-117.974985
Sutter Roseville Medical Center,95661,38.741074,-121.247693
Sutter Auburn Faith Hospital,95603,38.915869,-121.080284
Kaiser Foundation Hospital - Roseville,95661,38.741074,-121.247693
Eastern Plumas Hospital - Portola Campus,96122,39.825228,-120.477053
Plumas District Hospital,95971,39.940063,-120.891328
Seneca District Hospital,96020,40.39796,-121.298528
Hemet Global Medical Center,92543,33.667301,-116.963506
John F Kennedy Memorial Hospital,92201,33.710984,-116.204844
Eisenhower Medical Center,92270,33.768584,-116.429988
Temecula Valley Hospital,92592,33.511228,-117.042396
Kindred Hospital Riverside,92571,33.828396,-117.20766
Riverside Community Hospital,92501,33.99504,-117.373184
Loma Linda University Medical Center-Murrieta,92563,33.580016,-117.14736
"Doctors Hospital Of Riverside, Llc",92503,33.882579,-117.442303
"Kaiser Foundation Hospital, Riverside",92505,33.936193,-117.493881
Southwest Healthcare System,92562,33.547613,-117.34404
Riverside University Health System-Medical Center,92555,33.889702,-117.113427
Desert Regional Medical Center,92262,33.860925,-116.566176
Corona Regional Medical Center,92882,33.840451,-117.601961
Kaiser Foundation Hospital-Moreno Valley,92555,33.889702,-117.113427
Palo Verde Hospital,92225,33.736458,-114.687973
Menifee Global Medical Center,92585,33.746707,-117.172142
San Gorgonio Memorial Hospital,92220,33.948948,-116.832362
Vibra Hospital Of Sacramento,95630,38.666597,-121.141635
