location_name,location_id,date,beds_total,occupancy_total,occupancy_covid
Algoma Public Health Unit,3526,2020-08-26,,,
Algoma Public Health Unit,3526,2020-08-27,,,
Algoma Public Health Unit,3526,2020-08-28,,,
Algoma Public Health Unit,3526,2020-08-29,,,
Algoma Public Health Unit,3526,2020-08-30,,,
Algoma Public Health Unit,3526,2020-08-31,12.0,7.0,0.0
Algoma Public Health Unit,3526,2020-09-01,,,
Algoma Public Health Unit,3526,2020-09-02,12.0,6.0,0.0
Algoma Public Health Unit,3526,2020-09-03,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-09-04,,,
Algoma Public Health Unit,3526,2020-09-05,,,
Algoma Public Health Unit,3526,2020-09-06,,,
Algoma Public Health Unit,3526,2020-09-07,,,
Algoma Public Health Unit,3526,2020-09-08,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-09-09,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-09-10,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-09-11,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-09-12,,,
Algoma Public Health Unit,3526,2020-09-13,,,
Algoma Public Health Unit,3526,2020-09-14,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-09-15,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-09-16,12.0,7.0,0.0
Algoma Public Health Unit,3526,2020-09-17,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-09-18,12.0,7.0,0.0
Algoma Public Health Unit,3526,2020-09-19,,,
Algoma Public Health Unit,3526,2020-09-20,,,
Algoma Public Health Unit,3526,2020-09-21,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-09-22,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-09-23,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-09-24,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-09-25,12.0,7.0,0.0
Algoma Public Health Unit,3526,2020-09-26,,,
Algoma Public Health Unit,3526,2020-09-27,,,
Algoma Public Health Unit,3526,2020-09-28,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-09-29,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-09-30,12.0,11.0,0.0
Algoma Public Health Unit,3526,2020-10-01,12.0,7.0,0.0
Algoma Public Health Unit,3526,2020-10-02,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-10-03,,,
Algoma Public Health Unit,3526,2020-10-04,,,
Algoma Public Health Unit,3526,2020-10-05,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-10-06,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-10-07,12.0,7.0,0.0
Algoma Public Health Unit,3526,2020-10-08,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-10-09,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-10-10,,,
Algoma Public Health Unit,3526,2020-10-11,,,
Algoma Public Health Unit,3526,2020-10-12,,,
Algoma Public Health Unit,3526,2020-10-13,12.0,12.0,0.0
Algoma Public Health Unit,3526,2020-10-14,12.0,12.0,0.0
Algoma Public Health Unit,3526,2020-10-15,12.0,12.0,0.0
Algoma Public Health Unit,3526,2020-10-16,12.0,11.0,0.0
Algoma Public Health Unit,3526,2020-10-17,,,
Algoma Public Health Unit,3526,2020-10-18,,,
Algoma Public Health Unit,3526,2020-10-19,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-10-20,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-10-21,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-10-22,,,
Algoma Public Health Unit,3526,2020-10-23,13.0,9.0,0.0
Algoma Public Health Unit,3526,2020-10-24,,,
Algoma Public Health Unit,3526,2020-10-25,,,
Algoma Public Health Unit,3526,2020-10-26,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-10-27,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-10-28,,,
Algoma Public Health Unit,3526,2020-10-29,13.0,9.0,0.0
Algoma Public Health Unit,3526,2020-10-30,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-10-31,,,
Algoma Public Health Unit,3526,2020-11-01,,,
Algoma Public Health Unit,3526,2020-11-02,13.0,13.0,0.0
Algoma Public Health Unit,3526,2020-11-03,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-11-04,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-11-05,,,
Algoma Public Health Unit,3526,2020-11-06,13.0,9.0,0.0
Algoma Public Health Unit,3526,2020-11-07,,,
Algoma Public Health Unit,3526,2020-11-08,,,
Algoma Public Health Unit,3526,2020-11-09,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-11-10,,,
Algoma Public Health Unit,3526,2020-11-11,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-11-12,,,
Algoma Public Health Unit,3526,2020-11-13,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-11-14,,,
Algoma Public Health Unit,3526,2020-11-15,,,
Algoma Public Health Unit,3526,2020-11-16,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-11-17,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-11-18,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-11-19,,,
Algoma Public Health Unit,3526,2020-11-20,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-11-21,,,
Algoma Public Health Unit,3526,2020-11-22,,,
Algoma Public Health Unit,3526,2020-11-23,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-11-24,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-11-25,,,
Algoma Public Health Unit,3526,2020-11-26,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-11-27,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-11-28,,,
Algoma Public Health Unit,3526,2020-11-29,,,
Algoma Public Health Unit,3526,2020-11-30,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-12-01,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-12-02,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-12-03,13.0,9.0,0.0
Algoma Public Health Unit,3526,2020-12-04,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-12-05,,,
Algoma Public Health Unit,3526,2020-12-06,,,
Algoma Public Health Unit,3526,2020-12-07,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-12-08,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-12-09,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-12-10,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-12-11,13.0,11.0,0.0
Algoma Public Health Unit,3526,2020-12-12,,,
Algoma Public Health Unit,3526,2020-12-13,,,
Algoma Public Health Unit,3526,2020-12-14,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-12-15,,,
Algoma Public Health Unit,3526,2020-12-16,13.0,10.0,0.0
Algoma Public Health Unit,3526,2020-12-17,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-12-18,13.0,12.0,0.0
Algoma Public Health Unit,3526,2020-12-19,,,
Algoma Public Health Unit,3526,2020-12-20,,,
Algoma Public Health Unit,3526,2020-12-21,13.0,9.0,0.0
Algoma Public Health Unit,3526,2020-12-22,13.0,8.0,0.0
Algoma Public Health Unit,3526,2020-12-23,13.0,8.0,0.0
Algoma Public Health Unit,3526,2020-12-24,,,
Algoma Public Health Unit,3526,2020-12-25,,,
Algoma Public Health Unit,3526,2020-12-26,,,
Algoma Public Health Unit,3526,2020-12-27,,,
Algoma Public Health Unit,3526,2020-12-28,,,
Algoma Public Health Unit,3526,2020-12-29,,,
Algoma Public Health Unit,3526,2020-12-30,13.0,9.0,1.0
Algoma Public Health Unit,3526,2020-12-31,13.0,8.0,1.0
Algoma Public Health Unit,3526,2021-01-01,,,
Algoma Public Health Unit,3526,2021-01-02,,,
Algoma Public Health Unit,3526,2021-01-03,,,
Algoma Public Health Unit,3526,2021-01-04,13.0,11.0,1.0
Algoma Public Health Unit,3526,2021-01-05,13.0,11.0,1.0
Algoma Public Health Unit,3526,2021-01-06,13.0,11.0,1.0
Algoma Public Health Unit,3526,2021-01-07,13.0,9.0,1.0
Algoma Public Health Unit,3526,2021-01-08,13.0,10.0,1.0
Algoma Public Health Unit,3526,2021-01-09,,,
Algoma Public Health Unit,3526,2021-01-10,,,
Algoma Public Health Unit,3526,2021-01-11,13.0,7.0,1.0
Algoma Public Health Unit,3526,2021-01-12,13.0,4.0,1.0
Algoma Public Health Unit,3526,2021-01-13,,,
Algoma Public Health Unit,3526,2021-01-14,,,
Algoma Public Health Unit,3526,2021-01-15,,,
Algoma Public Health Unit,3526,2021-01-16,,,
Algoma Public Health Unit,3526,2021-01-17,,,
Algoma Public Health Unit,3526,2021-01-18,13.0,9.0,0.0
Algoma Public Health Unit,3526,2021-01-19,,,
Algoma Public Health Unit,3526,2021-01-20,13.0,7.0,0.0
Algoma Public Health Unit,3526,2021-01-21,13.0,9.0,0.0
Algoma Public Health Unit,3526,2021-01-22,,,
Algoma Public Health Unit,3526,2021-01-23,,,
Algoma Public Health Unit,3526,2021-01-24,,,
Algoma Public Health Unit,3526,2021-01-25,13.0,9.0,0.0
Algoma Public Health Unit,3526,2021-01-26,,,
Algoma Public Health Unit,3526,2021-01-27,,,
Algoma Public Health Unit,3526,2021-01-28,,,
Algoma Public Health Unit,3526,2021-01-29,13.0,8.0,0.0
Algoma Public Health Unit,3526,2021-01-30,,,
Algoma Public Health Unit,3526,2021-01-31,,,
Algoma Public Health Unit,3526,2021-02-01,13.0,8.0,0.0
Algoma Public Health Unit,3526,2021-02-02,13.0,9.0,0.0
Algoma Public Health Unit,3526,2021-02-03,13.0,8.0,0.0
Algoma Public Health Unit,3526,2021-02-04,,,
Algoma Public Health Unit,3526,2021-02-05,,,
Algoma Public Health Unit,3526,2021-02-06,,,
Algoma Public Health Unit,3526,2021-02-07,,,
Algoma Public Health Unit,3526,2021-02-08,18.0,9.0,0.0
Algoma Public Health Unit,3526,2021-02-09,18.0,10.0,0.0
Algoma Public Health Unit,3526,2021-02-10,18.0,10.0,0.0
Algoma Public Health Unit,3526,2021-02-11,18.0,11.0,0.0
Algoma Public Health Unit,3526,2021-02-12,18.0,10.0,0.0
Algoma Public Health Unit,3526,2021-02-13,,,
Algoma Public Health Unit,3526,2021-02-14,,,
Algoma Public Health Unit,3526,2021-02-15,,,
Algoma Public Health Unit,3526,2021-02-16,18.0,11.0,0.0
Algoma Public Health Unit,3526,2021-02-17,,,
Algoma Public Health Unit,3526,2021-02-18,,,
Algoma Public Health Unit,3526,2021-02-19,14.0,11.0,0.0
Algoma Public Health Unit,3526,2021-02-20,,,
Algoma Public Health Unit,3526,2021-02-21,,,
Algoma Public Health Unit,3526,2021-02-22,14.0,9.0,1.0
Algoma Public Health Unit,3526,2021-02-23,,,
Algoma Public Health Unit,3526,2021-02-24,,,
Algoma Public Health Unit,3526,2021-02-25,,,
Algoma Public Health Unit,3526,2021-02-26,14.0,11.0,1.0
Algoma Public Health Unit,3526,2021-02-27,,,
Algoma Public Health Unit,3526,2021-02-28,,,
Algoma Public Health Unit,3526,2021-03-01,,,
Algoma Public Health Unit,3526,2021-03-02,,,
Algoma Public Health Unit,3526,2021-03-03,,,
Algoma Public Health Unit,3526,2021-03-04,14.0,12.0,1.0
Algoma Public Health Unit,3526,2021-03-05,,,
Algoma Public Health Unit,3526,2021-03-06,,,
Algoma Public Health Unit,3526,2021-03-07,,,
Algoma Public Health Unit,3526,2021-03-08,18.0,10.0,1.0
Algoma Public Health Unit,3526,2021-03-09,,,
Algoma Public Health Unit,3526,2021-03-10,18.0,10.0,1.0
Algoma Public Health Unit,3526,2021-03-11,18.0,10.0,1.0
Algoma Public Health Unit,3526,2021-03-12,18.0,10.0,1.0
Algoma Public Health Unit,3526,2021-03-13,,,
Algoma Public Health Unit,3526,2021-03-14,,,
Algoma Public Health Unit,3526,2021-03-15,18.0,8.0,2.0
Algoma Public Health Unit,3526,2021-03-16,18.0,8.0,2.0
Algoma Public Health Unit,3526,2021-03-17,18.0,9.0,2.0
Algoma Public Health Unit,3526,2021-03-18,18.0,12.0,2.0
Algoma Public Health Unit,3526,2021-03-19,18.0,11.0,2.0
Algoma Public Health Unit,3526,2021-03-20,,,
Algoma Public Health Unit,3526,2021-03-21,,,
Algoma Public Health Unit,3526,2021-03-22,18.0,11.0,1.0
Algoma Public Health Unit,3526,2021-03-23,18.0,10.0,1.0
Algoma Public Health Unit,3526,2021-03-24,,,
Algoma Public Health Unit,3526,2021-03-25,18.0,10.0,1.0
Algoma Public Health Unit,3526,2021-03-26,18.0,9.0,1.0
Algoma Public Health Unit,3526,2021-03-27,,,
Algoma Public Health Unit,3526,2021-03-28,,,
Algoma Public Health Unit,3526,2021-03-29,,,
Algoma Public Health Unit,3526,2021-03-30,,,
Algoma Public Health Unit,3526,2021-03-31,18.0,10.0,0.0
Algoma Public Health Unit,3526,2021-04-01,18.0,10.0,0.0
Algoma Public Health Unit,3526,2021-04-02,,,
Algoma Public Health Unit,3526,2021-04-03,,,
Algoma Public Health Unit,3526,2021-04-04,,,
Algoma Public Health Unit,3526,2021-04-05,,,
Algoma Public Health Unit,3526,2021-04-06,,,
Algoma Public Health Unit,3526,2021-04-07,,,
Algoma Public Health Unit,3526,2021-04-08,,,
Algoma Public Health Unit,3526,2021-04-09,18.0,12.0,0.0
Algoma Public Health Unit,3526,2021-04-10,,,
Algoma Public Health Unit,3526,2021-04-11,,,
Algoma Public Health Unit,3526,2021-04-12,,,
Algoma Public Health Unit,3526,2021-04-13,18.0,11.0,1.0
Algoma Public Health Unit,3526,2021-04-14,,,
Algoma Public Health Unit,3526,2021-04-15,,,
Algoma Public Health Unit,3526,2021-04-16,18.0,10.0,0.0
Algoma Public Health Unit,3526,2021-04-17,,,
Algoma Public Health Unit,3526,2021-04-18,,,
Algoma Public Health Unit,3526,2021-04-19,18.0,9.0,0.0
Algoma Public Health Unit,3526,2021-04-20,,,
Algoma Public Health Unit,3526,2021-04-21,18.0,9.0,0.0
Algoma Public Health Unit,3526,2021-04-21,18.0,9.0,0.0
Algoma Public Health Unit,3526,2021-04-22,18.0,10.0,0.0
Algoma Public Health Unit,3526,2021-04-23,,,
Algoma Public Health Unit,3526,2021-04-24,,,
Algoma Public Health Unit,3526,2021-04-25,,,
Brant County Health Unit,3527,2020-03-24,,,
Brant County Health Unit,3527,2020-03-25,,,
Brant County Health Unit,3527,2020-03-26,,,
Brant County Health Unit,3527,2020-03-27,,,
Brant County Health Unit,3527,2020-03-28,,,
Brant County Health Unit,3527,2020-03-29,,,
Brant County Health Unit,3527,2020-03-30,,,
Brant County Health Unit,3527,2020-03-31,,,
Brant County Health Unit,3527,2020-04-01,,,
Brant County Health Unit,3527,2020-04-02,,,
Brant County Health Unit,3527,2020-04-03,,,
Brant County Health Unit,3527,2020-04-04,,,
Brant County Health Unit,3527,2020-04-05,,,
Brant County Health Unit,3527,2020-04-06,,,
Brant County Health Unit,3527,2020-04-07,,,
Brant County Health Unit,3527,2020-04-08,,,
Brant County Health Unit,3527,2020-04-09,,,
Brant County Health Unit,3527,2020-04-10,,,
Brant County Health Unit,3527,2020-04-11,,,
Brant County Health Unit,3527,2020-04-12,,,
Brant County Health Unit,3527,2020-04-13,,,
Brant County Health Unit,3527,2020-04-14,,,
Brant County Health Unit,3527,2020-04-15,,,
Brant County Health Unit,3527,2020-04-16,,,
Brant County Health Unit,3527,2020-04-17,,,
Brant County Health Unit,3527,2020-04-18,,,
Brant County Health Unit,3527,2020-04-19,,,
Brant County Health Unit,3527,2020-04-20,,,
Brant County Health Unit,3527,2020-04-21,,,
Brant County Health Unit,3527,2020-04-22,,,
Brant County Health Unit,3527,2020-04-23,,,
Brant County Health Unit,3527,2020-04-24,,,
Brant County Health Unit,3527,2020-04-25,,,
Brant County Health Unit,3527,2020-04-26,,,
Brant County Health Unit,3527,2020-04-27,,,
Brant County Health Unit,3527,2020-04-28,,,
Brant County Health Unit,3527,2020-04-29,,,
Brant County Health Unit,3527,2020-04-30,,,
Brant County Health Unit,3527,2020-05-01,,,
Brant County Health Unit,3527,2020-05-02,,,
Brant County Health Unit,3527,2020-05-03,,,
Brant County Health Unit,3527,2020-05-04,,,
Brant County Health Unit,3527,2020-05-05,,,
Brant County Health Unit,3527,2020-05-06,,,
Brant County Health Unit,3527,2020-05-07,,,
Brant County Health Unit,3527,2020-05-08,,,
Brant County Health Unit,3527,2020-05-09,,,
Brant County Health Unit,3527,2020-05-10,,,
Brant County Health Unit,3527,2020-05-11,,,
Brant County Health Unit,3527,2020-05-12,,,
Brant County Health Unit,3527,2020-05-13,,,
Brant County Health Unit,3527,2020-05-14,,,
Brant County Health Unit,3527,2020-05-15,,,
Brant County Health Unit,3527,2020-05-16,,,
Brant County Health Unit,3527,2020-05-17,,,
Brant County Health Unit,3527,2020-05-18,,,
Brant County Health Unit,3527,2020-05-19,,,
Brant County Health Unit,3527,2020-05-20,,,
Brant County Health Unit,3527,2020-05-21,,,
Brant County Health Unit,3527,2020-05-22,,,
Brant County Health Unit,3527,2020-05-23,,,
Brant County Health Unit,3527,2020-05-24,,,
Brant County Health Unit,3527,2020-05-25,,,
Brant County Health Unit,3527,2020-05-26,,,
Brant County Health Unit,3527,2020-05-27,,,
Brant County Health Unit,3527,2020-05-28,,,
Brant County Health Unit,3527,2020-05-29,,,
Brant County Health Unit,3527,2020-05-30,,,
Brant County Health Unit,3527,2020-05-31,,,
Brant County Health Unit,3527,2020-06-01,,,
Brant County Health Unit,3527,2020-06-02,,,
Brant County Health Unit,3527,2020-06-03,,,
Brant County Health Unit,3527,2020-06-04,,,
Brant County Health Unit,3527,2020-06-05,,,
Brant County Health Unit,3527,2020-06-06,,,
Brant County Health Unit,3527,2020-06-07,,,
Brant County Health Unit,3527,2020-06-08,,,
Brant County Health Unit,3527,2020-06-09,,,
Brant County Health Unit,3527,2020-06-10,,,
Brant County Health Unit,3527,2020-06-11,,,
Brant County Health Unit,3527,2020-06-12,,,
Brant County Health Unit,3527,2020-06-13,,,
Brant County Health Unit,3527,2020-06-14,,,
Brant County Health Unit,3527,2020-06-15,,,
Brant County Health Unit,3527,2020-06-16,,,
Brant County Health Unit,3527,2020-06-17,,,
Brant County Health Unit,3527,2020-06-18,,,
Brant County Health Unit,3527,2020-06-19,15.0,11.0,0.0
Brant County Health Unit,3527,2020-06-20,,,
Brant County Health Unit,3527,2020-06-21,,,
Brant County Health Unit,3527,2020-06-22,15.0,10.0,0.0
Brant County Health Unit,3527,2020-06-23,15.0,10.0,0.0
Brant County Health Unit,3527,2020-06-24,15.0,11.0,0.0
Brant County Health Unit,3527,2020-06-25,15.0,10.0,0.0
Brant County Health Unit,3527,2020-06-26,15.0,8.0,0.0
Brant County Health Unit,3527,2020-06-27,,,
Brant County Health Unit,3527,2020-06-28,,,
Brant County Health Unit,3527,2020-06-29,15.0,10.0,0.0
Brant County Health Unit,3527,2020-06-30,15.0,11.0,0.0
Brant County Health Unit,3527,2020-07-01,,,
Brant County Health Unit,3527,2020-07-02,15.0,13.0,0.0
Brant County Health Unit,3527,2020-07-03,15.0,12.0,0.0
Brant County Health Unit,3527,2020-07-04,,,
Brant County Health Unit,3527,2020-07-05,,,
Brant County Health Unit,3527,2020-07-06,15.0,9.0,0.0
Brant County Health Unit,3527,2020-07-07,,,
Brant County Health Unit,3527,2020-07-08,15.0,10.0,0.0
Brant County Health Unit,3527,2020-07-09,15.0,8.0,0.0
Brant County Health Unit,3527,2020-07-10,15.0,8.0,0.0
