hospital,hhsname,hospital_id,lat,long,total_beds,total_occupancy,total_load,icu_beds,icu_occupancy,icu_load
Adena Regional Medical Center,ADENA REGIONAL MEDICAL CENTER,360159,39.3962346,-82.9683385,186.1,167.1,0.8979043524986566,12.0,11.7,0.975
Adirondack Medical Center – Saranac Lake,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,44.34551949999999,-74.14346689999999,60.0,33.9,0.565,8.0,5.1,0.6375
Admin De Servicios Médicos Puerto Rico,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,400127,18.45,-66.06,86.6,54.6,0.630484988452656,21.1,21.1,1.0
Advanced Care Hospital of Montana,ADVANCED CARE HOSPITAL OF MONTANA,272001,45.7431546,-108.6045377,40.0,35.6,0.89,0.0,0.0,0.0
Advanced Care Hospital of Southern New Mexico,ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO LLC,322004,32.3260692,-106.7250303,20.0,16.6,0.8300000000000001,0.0,0.0,0.0
Advanced Care Hospital of White County,ADVANCED CARE HOSPITAL WHITE COUNTY,042011,35.2339202,-91.73200419999999,20.0,17.3,0.865,20.0,17.3,0.865
Advanced Specialty Hospital of Toledo,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,362038,41.6202461,-83.5961561,25.0,23.3,0.932,0.0,0.0,0.0
Advanced Surgical Hospital,ADVANCED SURGICAL HOSPITAL,390323,40.1565061,-80.27908409999999,14.0,4.3,0.3071428571428571,0.0,0.0,0.0
AdventHealth Carrollwood,ADVENTHEALTH CARROLLWOOD,100069,28.0134607,-82.5041225,122.0,108.0,0.8852459016393442,12.0,10.0,0.8333333333333334
Adventhealth Central Texas,ADVENTHEALTH CENTRAL TEXAS,450152,31.1133483,-97.8011834,98.4,98.4,1.0,10.0,10.0,1.0
AdventHealth Connerton,ADVENTHEALTH CONNERTON,102026,28.2952536,-82.4899726,77.0,75.6,0.9818181818181817,10.0,9.7,0.97
AdventHealth Dade City,ADVENTHEALTH DADE CITY,100211,28.3479242,-82.2003932,120.0,107.1,0.8925,12.0,7.9,0.6583333333333333
AdventHealth Daytona Beach,ADVENTHEALTH DAYTONA BEACH,100068,29.2436358,-81.108182,342.0,328.7,0.961111111111111,46.0,43.4,0.9434782608695652
AdventHealth DeLand,ADVENTHEALTH DELAND,100045,29.0437866,-81.3179794,162.0,144.3,0.8907407407407408,25.0,22.7,0.9079999999999999
Adventhealth Durand,ADVENTHEALTH DURAND,521307,44.6205552,-91.9627501,25.0,4.4,0.17600000000000002,0.0,0.0,0.0
AdventHealth Fish Memorial,ADVENTHEALTH FISH MEMORIAL,100072,28.9131906,-81.2835408,189.0,192.3,1.0174603174603176,40.0,45.1,1.1275
AdventHealth Gordon,ADVENTHEALTH GORDON,110023,34.5102054,-84.9263043,82.0,74.1,0.9036585365853658,10.0,9.7,0.97
AdventHealth Heart of Florida,ADVENTHEALTH HEART OF FLORIDA,100137,28.1814929,-81.6418777,166.0,134.9,0.8126506024096386,16.0,13.7,0.85625
AdventHealth Lake Wales,ADVENTHEALTH LAKE WALES,100099,27.8966144,-81.565241,90.0,82.0,0.9111111111111111,8.0,6.7,0.8375
AdventHealth Manchester,ADVENTHEALTH MANCHESTER,180043,37.162122,-83.7620857,34.0,19.9,0.5852941176470587,7.7,5.3,0.6883116883116883
AdventHealth Murray,ADVENTHEALTH MURRAY,110050,34.7799558,-84.7830378,32.0,14.4,0.45,0.0,0.0,0.0
AdventHealth New Smyrna Beach,ADVENTHEALTH NEW SMYRNA BEACH,100014,29.0202552,-80.92175329999999,109.0,97.6,0.8954128440366972,14.0,12.7,0.9071428571428571
AdventHealth North Pinellas,ADVENTHEALTH NORTH PINELLAS,100055,28.1323928,-82.75789050000002,145.0,132.6,0.9144827586206896,13.0,8.1,0.6230769230769231
AdventHealth Ocala,ADVENTHEALTH OCALA,100062,29.1762916,-82.1389191,319.0,295.0,0.9247648902821317,33.0,23.0,0.696969696969697
Adventhealth Orlando,ADVENTHEALTH ORLANDO,100007,28.5751748,-81.3702095,2380.0,2343.1,0.9844957983193277,324.0,316.6,0.9771604938271605
AdventHealth Ottawa,ADVENTHEALTH OTTAWA,170014,38.5963561,-95.26770909999999,44.0,17.4,0.39545454545454545,6.0,4.0,0.6666666666666666
AdventHealth Palm Coast,ADVENTHEALTH PALM COAST,100118,29.4791792,-81.1894338,163.0,103.4,0.6343558282208589,22.0,15.7,0.7136363636363636
Redmond Regional Medical Center,ADVENTHEALTH REDMOND,110168,34.2767101,-85.1965287,247.0,240.4,0.9732793522267207,40.0,37.4,0.9349999999999999
AdventHealth Rollins Brook,ADVENTHEALTH ROLLINS BROOK,451323,31.0724144,-98.18635979999999,22.0,7.3,0.3318181818181818,0.0,0.0,0.0
AdventHealth Sebring,ADVENTHEALTH SEBRING,100109,27.5396502,-81.5105882,216.0,193.1,0.8939814814814815,39.0,37.3,0.9564102564102563
AdventHealth Shawnee Mission,ADVENTHEALTH SHAWNEE MISSION,170104,38.9957761,-94.69211390000001,319.0,223.6,0.7009404388714733,28.0,11.1,0.3964285714285714
AdventHealth Tampa,ADVENTHEALTH TAMPA,100173,28.0720715,-82.4234357,315.0,343.6,1.0907936507936509,53.0,41.4,0.781132075471698
AdventHealth Waterman,ADVENTHEALTH WATERMAN,100057,28.823794,-81.714703,263.0,261.3,0.9935361216730039,30.0,27.3,0.91
AdventHealth Wauchula,ADVENTHEALTH WAUCHULA,101300,27.5394213,-81.80727739999999,25.0,22.9,0.9159999999999999,0.0,0.0,0.0
AdventHealth Wesley Chapel,ADVENTHEALTH WESLEY CHAPEL,100319,28.1952918,-82.3519704,172.0,166.7,0.9691860465116279,20.0,19.1,0.9550000000000001
AdventHealth Zephyrhills,ADVENTHEALTH ZEPHYRHILLS,100046,28.2608164,-82.1853691,169.0,160.6,0.9502958579881656,22.0,21.1,0.9590909090909091
Adventist Bolingbrook Hospital,ADVENTIST BOLINGBROOK HOSPITAL,140304,41.6807968,-88.08473289999999,114.0,89.6,0.7859649122807018,12.0,8.4,0.7000000000000001
Adventist Glenoaks,ADVENTIST GLENOAKS,140292,41.9152811,-88.0570138,82.0,78.0,0.9512195121951219,10.0,6.9,0.6900000000000001
Adventist Health and Rideout,ADVENTIST HEALTH AND RIDEOUT,050133,39.138174,-121.5942279,242.9,203.6,0.838205022643063,28.1,26.9,0.9572953736654803
Adventist Health Bakersfield,ADVENTIST HEALTH BAKERSFIELD,050455,35.3833744,-119.0206543,212.4,212.4,1.0,28.9,28.9,1.0
Adventist Health Castle,ADVENTIST HEALTH CASTLE,120006,21.3808543,-157.7577795,97.0,71.7,0.7391752577319588,9.1,9.0,0.989010989010989
Adventist Health Clearlake,ADVENTIST HEALTH CLEARLAKE,051317,38.9354231,-122.6200785,23.9,19.3,0.8075313807531381,4.0,4.0,1.0
Adventist Health Delano,ADVENTIST HEALTH DELANO,050608,35.7622854,-119.2392519,25.6,23.1,0.90234375,5.4,5.4,1.0
Adventist Health Hanford,ADVENTIST HEALTH HANFORD,050121,36.3235809,-119.6665666,164.1,158.3,0.9646556977452774,16.6,14.6,0.8795180722891566
Adventist Health Howard Memorial,ADVENTIST HEALTH HOWARD MEMORIAL,051310,39.3899426,-123.3389404,26.3,25.7,0.9771863117870722,4.0,4.0,1.0
Adventist Health Lodi Memorial,ADVENTIST HEALTH LODI MEMORIAL,050336,38.1214679,-121.2869098,132.4,124.7,0.9418429003021148,12.6,11.4,0.9047619047619048
Mendocino Coast District Hospital,ADVENTIST HEALTH MENDOCINO COAST,051325,39.4313778,-123.800388,16.1,14.7,0.9130434782608694,4.0,0.0,0.0
Adventist Health Portland,ADVENTIST HEALTH PORTLAND,380060,45.5122765,-122.5590789,104.6,104.6,1.0,19.9,19.9,1.0
Adventist Health Reedley,ADVENTIST HEALTH REEDLEY,050192,36.6083681,-119.4518471,32.1,22.6,0.7040498442367601,0.0,0.0,0.0
Adventist Health Simi Valley,ADVENTIST HEALTH SIMI VALLEY,050236,34.2892065,-118.745137,129.0,120.4,0.9333333333333333,21.0,20.0,0.9523809523809523
Adventist Health Sonora,ADVENTIST HEALTH SONORA,050335,37.9777841,-120.3705728,72.0,56.4,0.7833333333333333,6.0,4.0,0.6666666666666666
Adventist Health St. Helena,ADVENTIST HEALTH ST HELENA,050013,38.5425501,-122.4748268,55.3,45.0,0.81374321880651,9.0,8.3,0.9222222222222223
Adventist Health Tehachapi Valley,ADVENTIST HEALTH TEHACHAPI VALLEY,051301,35.1474419,-118.4504364,17.3,16.3,0.9421965317919075,4.0,4.1,1.025
Adventist Health Tillamook,ADVENTIST HEALTH TILLAMOOK,381317,45.4565613,-123.8545494,23.0,13.0,0.5652173913043478,4.0,0.0,0.0
Adventist Health Tulare,ADVENTIST HEALTH TULARE,050784,36.2211168,-119.3385333,34.4,32.4,0.9418604651162791,8.0,6.4,0.8
Adventist Health Ukiah Valley,ADVENTIST HEALTH UKIAH VALLEY,050301,39.1530652,-123.2028906,54.7,48.4,0.8848263254113344,7.9,7.3,0.9240506329113923
Adventist Healthcare Fort Washington Medical Center,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,210060,38.7285124,-76.9925925,49.0,24.7,0.5040816326530612,16.0,4.1,0.25625
Adventist Healthcare Shady Grove Medical Center,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,210057,39.09804219999999,-77.1982981,337.0,307.1,0.9112759643916915,26.0,21.6,0.8307692307692308
Adventist Healthcare White Oak Medical Center,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,210016,39.0494367,-76.9576649,428.0,246.0,0.5747663551401869,61.0,30.7,0.5032786885245901
Adventist Hinsdale Hospital,ADVENTIST HINSDALE HOSPITAL,140122,41.8056107,-87.920693,212.0,117.4,0.5537735849056604,22.0,11.7,0.5318181818181817
Adventist La Grange Memorial Hospital,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,140065,41.7967451,-87.8863882,177.0,119.7,0.676271186440678,27.0,7.7,0.2851851851851852
Advocate Christ Hospital & Medical Center,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,140208,41.721808,-87.73261819999999,732.6,579.6,0.7911547911547911,130.0,113.6,0.8738461538461538
Advocate Condell Medical Center,ADVOCATE CONDELL MEDICAL CENTER,140202,42.2749221,-87.9523277,291.0,204.6,0.7030927835051546,39.0,36.7,0.9410256410256411
Advocate Good Samaritan Hospital,ADVOCATE GOOD SAMARITAN HOSPITAL,140288,41.8197069,-88.0082922,313.0,218.6,0.6984025559105431,44.0,31.1,0.7068181818181819
Advocate Good Shepherd Hospital,ADVOCATE GOOD SHEPHERD HOSPITAL,140291,42.1956043,-88.1732048,202.0,138.1,0.6836633663366336,36.0,25.6,0.7111111111111111
Advocate Illinois Masonic Medical Center,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,41.9367723,-87.6511754,272.0,183.1,0.6731617647058823,38.0,30.4,0.7999999999999999
Advocate Lutheran General Hospital,ADVOCATE LUTHERAN GENERAL HOSPITAL,140223,42.0384783,-87.847611,628.6,468.6,0.7454661151765829,70.0,50.3,0.7185714285714285
Advocate Sherman Hospital,ADVOCATE SHERMAN HOSPITAL,140030,42.07042,-88.331003,279.0,183.6,0.6580645161290323,30.0,17.1,0.5700000000000001
Advocate Trinity Hospital,ADVOCATE TRINITY HOSPITAL,140048,41.7265222,-87.5679334,362.0,245.4,0.6779005524861879,32.0,22.3,0.696875
A.H.M.C. Anaheim Regional Medical Center,AHMC ANAHEIM REGIONAL MEDICAL CENTER,050226,33.8480306,-117.9344242,241.0,92.3,0.3829875518672199,12.6,12.4,0.9841269841269842
Seton Medical Center,AHMC SETON MEDICAL CENTER,050289,37.6801347,-122.4740564,56.7,53.7,0.9470899470899471,7.1,6.0,0.8450704225352114
A.H.N. Emerus Westmoreland,"AHN EMERUS WESTMORELAND, LLC",390333,40.3105087,-79.6003956,15.0,5.6,0.3733333333333333,0.0,0.0,0.0
Aiken Regional Medical Center,AIKEN REGIONAL MEDICAL CENTER,420082,33.5711196,-81.7617823,155.0,124.8,0.8051612903225807,21.0,14.0,0.6666666666666666
Akron Children’s Hospital,AKRON CHILDREN'S HOSPITAL,363303,41.0790823,-81.5255023,12.0,7.1,0.5916666666666667,0.0,0.0,0.0
Akron General Medical Center,AKRON GENERAL MEDICAL CENTER,360027,41.0788298,-81.5326274,336.4,310.0,0.9215219976218788,54.1,48.0,0.8872458410351202
Alamance Regional Medical Center,ALAMANCE REGIONAL MEDICAL CENTER,340070,36.06109,-79.50215299999999,192.7,135.1,0.7010897768552153,20.0,15.3,0.765
Alameda Hospital,ALAMEDA HOSPITAL,050211,37.7629848,-122.2533183,90.0,47.7,0.53,8.0,7.3,0.9125
Alaska Regional Hospital,ALASKA REGIONAL HOSPITAL,020017,61.21061539999999,-149.8285244,175.0,137.3,0.7845714285714286,17.0,17.0,1.0
Albany Medical Center Hospital,ALBANY MEDICAL CENTER HOSPITAL,330013,42.6531717,-73.7761002,537.0,483.6,0.9005586592178771,91.3,75.3,0.8247535596933188
Albert Einstein Medical Center,ALBERT EINSTEIN MEDICAL CENTER,390142,40.0376371,-75.14357319999999,701.0,545.0,0.7774607703281027,55.0,49.3,0.8963636363636364
"Albuquerque - AMG Specialty Hospital, LLC","ALBUQUERQUE - AMG SPECIALTY HOSPITAL, LLC",322003,35.057986,-106.5813804,32.0,20.3,0.634375,0.0,0.0,0.0
Alexian Brothers Medical Center 1,ALEXIAN BROTHERS MEDICAL CENTER 1,140258,42.00540520000001,-88.0155173,288.0,242.9,0.8434027777777778,36.0,32.7,0.9083333333333334
Alhambra Hospital Medical Center,ALHAMBRA HOSPITAL MEDICAL CENTER,050281,34.0903051,-118.1440538,80.7,68.0,0.8426270136307311,12.3,10.9,0.8861788617886178
Alice Hyde Medical Center,ALICE HYDE MEDICAL CENTER,330084,44.8572186,-74.2915929,24.0,16.9,0.7041666666666666,4.0,0.0,0.0
Alice Peck Day Memorial Hospital,ALICE PECK DAY MEMORIAL HOSPITAL,301305,43.6398681,-72.2644873,15.3,9.1,0.5947712418300654,0.0,0.0,0.0
Alleghany County Memorial Hospital,ALLEGHANY COUNTY MEMORIAL HOSPITAL,341320,36.5095115,-81.1150447,6.0,4.0,0.6666666666666666,0.0,0.0,0.0
Allegheny General Hospital,ALLEGHENY GENERAL HOSPITAL,390050,40.4574469,-80.0032706,360.4,353.3,0.9802996670366261,80.6,76.4,0.947890818858561
Allegheny Valley Hospital,ALLEGHENY VALLEY HOSPITAL,390032,40.618556,-79.7367797,56.3,47.4,0.8419182948490231,9.4,7.4,0.7872340425531915
Allegiance Specialty Hospital of Greenville,ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE,252013,33.4043276,-91.0511456,53.0,24.7,0.4660377358490566,10.0,7.0,0.7
Allen County Regional Hospital,ALLEN COUNTY REGIONAL HOSPITAL,171373,37.9488038,-95.39166469999999,9.4,9.4,1.0,0.0,0.0,0.0
Allen Hospital,ALLEN HOSPITAL,160110,42.5266507,-92.3395639,160.0,134.9,0.843125,12.0,10.3,0.8583333333333334
Allen Parish Hospital,ALLEN PARISH HOSPITAL,190133,30.4920965,-92.8555286,15.0,11.0,0.7333333333333333,0.0,0.0,0.0
Allendale County Hospital,ALLENDALE COUNTY HOSPITAL,421300,32.9653607,-81.24805429999999,25.0,6.1,0.244,0.0,0.0,0.0
Alliance Community Hospital,ALLIANCE COMMUNITY HOSPITAL,360131,40.902548,-81.1026567,49.0,35.7,0.7285714285714286,12.0,9.0,0.75
Alliance Health Center,ALLIANCE HEALTH CENTER,250151,32.4096043,-88.6778171,78.0,12.7,0.16282051282051282,0.0,0.0,0.0
Alliance Healthcare System,ALLIANCE HEALTHCARE SYSTEM,250012,34.7871013,-89.41679859999999,40.0,10.3,0.2575,0.0,0.0,0.0
AllianceHealth Clinton,ALLIANCEHEALTH CLINTON,370029,35.514514,-98.99648499999999,6.0,5.3,0.8833333333333333,0.0,0.0,0.0
AllianceHealth Durant,ALLIANCEHEALTH DURANT,370014,34.0072887,-96.39425680000001,138.0,76.0,0.5507246376811594,12.1,12.1,1.0
AllianceHealth Madill,ALLIANCEHEALTH MADILL,371326,34.0810458,-96.777591,13.0,5.9,0.4538461538461539,0.0,0.0,0.0
AllianceHealth Ponca City,ALLIANCEHEALTH PONCA CITY,370006,36.7247236,-97.0684996,43.0,24.4,0.5674418604651162,5.9,4.3,0.7288135593220338
AllianceHealth Seminole,ALLIANCEHEALTH SEMINOLE,370229,35.2462623,-96.6985528,7.6,7.0,0.9210526315789475,0.0,0.0,0.0
AllianceHealth Woodward,ALLIANCEHEALTH WOODWARD,370002,36.4374176,-99.4003544,21.0,17.7,0.8428571428571429,6.0,5.0,0.8333333333333334
Alomere Health,ALOMERE HEALTH,240030,45.8739484,-95.37604800000001,44.1,33.7,0.764172335600907,4.0,4.1,1.025
Alta Bates Summit Medical Center,ALTA BATES SUMMIT MEDICAL CENTER,050043,37.821677,-122.2630846,297.0,183.9,0.6191919191919192,36.0,15.7,0.4361111111111111
Alta Bates Summit Medical Center - Alta Bates Campus,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,050305,37.8556279,-122.2575014,345.0,145.7,0.4223188405797101,30.0,14.9,0.4966666666666667
Alta View Hospital,ALTA VIEW HOSPITAL,460044,40.5759389,-111.8539588,68.0,25.9,0.38088235294117645,8.0,4.6,0.575
Alta Vista Regional Hospital,ALTA VISTA REGIONAL HOSPITAL,320003,35.6235247,-105.2103393,20.4,11.9,0.5833333333333334,4.1,0.0,0.0
Alton Memorial Hospital,ALTON MEMORIAL HOSPITAL,140002,38.8995477,-90.1591567,98.6,86.3,0.8752535496957404,12.0,9.7,0.8083333333333332
Altru Hospital,ALTRU HOSPITAL,350019,47.9105352,-97.06811069999999,165.1,162.1,0.9818291944276196,21.0,19.1,0.9095238095238096
Altus Baytown Hospital,ALTUS BAYTOWN HOSPITAL,670109,29.7712805,-94.9816893,11.4,5.7,0.5,0.0,0.0,0.0
"Altus Houston Hospital, LP","ALTUS HOUSTON HOSPITAL, LP",670135,29.711424,-95.5563359,8.3,5.3,0.6385542168674698,0.0,0.0,0.0
Altus Lumberton Hospital,ALTUS LUMBERTON HOSPITAL,670134,30.2624254,-94.22117039999999,0.0,0.0,0.0,0.0,0.0,0.0
Alvarado Hospital Medical Center,ALVARADO HOSPITAL MEDICAL CENTER,050757,32.7766415,-117.0573188,131.7,92.0,0.6985573272589218,14.7,10.7,0.7278911564625851
Atchison Hospital,AMBERWELL ATCHISON,171382,39.5366253,-95.12823859999999,25.0,12.5,0.5,4.0,0.0,0.0
Hiawatha Community Hospital,AMBERWELL HIAWATHA,171341,39.8521626,-95.5309723,21.4,9.3,0.4345794392523365,0.0,0.0,0.0
American Fork Hospital,AMERICAN FORK HOSPITAL,460023,40.3804239,-111.7671837,68.0,50.6,0.7441176470588236,8.0,7.4,0.925
Amery Hospital & Clinic,AMERY HOSPITAL & CLINIC,521308,45.2969166,-92.36094109999999,40.0,14.3,0.35750000000000004,0.0,0.0,0.0
Anaheim Global Medical Center,ANAHEIM GLOBAL MEDICAL CENTER,050744,33.8196827,-117.9097961,189.0,103.1,0.5455026455026455,22.0,7.6,0.34545454545454546
Andalusia Health,ANDALUSIA HEALTH,010036,31.2962978,-86.4947624,46.0,26.7,0.5804347826086956,8.0,7.1,0.8875
Anderson County Hospital,ANDERSON COUNTY HOSPITAL,171316,38.2800039,-95.2504893,12.0,7.0,0.5833333333333334,0.0,0.0,0.0
Anderson Hospital,ANDERSON HOSPITAL,140289,38.7368469,-89.94622559999999,129.0,96.1,0.7449612403100775,12.0,9.7,0.8083333333333332
Anderson Regional Medical Center,ANDERSON REGIONAL MEDICAL CENTER,250104,32.3717269,-88.69915790000002,144.4,144.4,1.0,25.4,25.4,1.0
Anderson R.M.C. South,ANDERSON RMC SOUTH,250081,32.3675204,-88.6989698,32.7,32.7,1.0,0.0,0.0,0.0
Androscoggin Valley Hospital,ANDROSCOGGIN VALLEY HOSPITAL,301310,44.4876103,-71.15684519999999,20.0,16.7,0.835,4.0,4.0,1.0
Angel Medical Center,ANGEL MEDICAL CENTER,341326,35.184467,-83.379413,30.0,17.0,0.5666666666666667,9.0,5.0,0.5555555555555556
Animas Surgical Hospital,"ANIMAS SURGICAL HOSPITAL, LLC",060117,37.2480706,-107.8708827,12.0,4.6,0.3833333333333333,0.0,0.0,0.0
AnMed Health,ANMED HEALTH,420027,34.5115744,-82.64648740000001,403.0,266.1,0.6602977667493797,61.0,44.7,0.7327868852459016
Ann & Robert H. Lurie Children’s Hospital of Chicago,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,143300,41.8962223,-87.6218344,0.0,0.0,0.0,0.0,0.0,0.0
Anna Jaques Hospital,ANNA JAQUES HOSPITAL,220029,42.8141914,-70.8912533,91.6,87.9,0.9596069868995635,5.1,4.1,0.803921568627451
Annie Jeffrey Memorial County Health Center,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,281314,41.16978779999999,-97.5490124,10.0,7.2,0.72,0.0,0.0,0.0
Anson General Hospital,ANSON GENERAL HOSPITAL,450078,32.7679807,-99.8950016,17.9,4.4,0.24581005586592183,0.0,0.0,0.0
Antelope Memorial Hospital,ANTELOPE MEMORIAL HOSPITAL,281326,42.1336539,-98.0299847,12.0,4.1,0.3416666666666666,0.0,0.0,0.0
Antelope Valley Hospital,ANTELOPE VALLEY HOSPITAL,050056,34.6884937,-118.1585302,190.6,179.4,0.9412381951731376,29.4,27.7,0.9421768707482994
Appleton Area Health,APPLETON AREA HEALTH,241341,45.199873,-96.008803,11.0,4.1,0.3727272727272727,0.0,0.0,0.0
Appling Hospital,APPLING HOSPITAL,110071,31.76996,-82.3501424,64.0,25.9,0.4046875,5.0,0.0,0.0
Arbor Health Morton Hospital,ARBOR HEALTH MORTON HOSPITAL,501319,46.5554332,-122.2799987,15.0,8.3,0.5533333333333333,0.0,0.0,0.0
Arbuckle Memorial Hospital Authority,ARBUCKLE MEMORIAL HOSPITAL AUTHORITY,371328,34.5059681,-96.9941826,25.0,20.9,0.836,0.0,0.0,0.0
A.R.H. Our Lady of the Way,ARH OUR LADY OF THE WAY,181305,37.5788864,-82.7509384,14.3,13.9,0.972027972027972,0.0,0.0,0.0
Arise Austin Medical Center,ARISE AUSTIN MEDICAL CENTER,450871,30.270872,-97.79585499999999,19.0,4.0,0.21052631578947367,0.0,0.0,0.0
Arizona Specialty Hospital,ARIZONA SPECIALTY HOSPITAL,030112,33.3337537,-111.891233,24.0,4.9,0.2041666666666667,0.0,0.0,0.0
Arizona Spine and Joint Hospital,ARIZONA SPINE AND JOINT HOSPITAL,030107,33.3803795,-111.7347299,23.0,10.0,0.43478260869565216,0.0,0.0,0.0
Arkansas Children’s Hospital,ARKANSAS CHILDREN'S HOSPITAL,043300,34.7429496,-92.2929685,8.4,12.9,1.5357142857142856,8.4,8.4,1.0
Arkansas Children’s Northwest,"ARKANSAS CHILDREN'S NORTHWEST, INC",043301,36.162199,-94.1903349,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas Continued Care Hospital of Jonesboro,ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,042013,35.8083787,-90.66657740000001,44.0,39.4,0.8954545454545454,9.0,6.7,0.7444444444444445
Christus Dubuis Hospital of Fort Smith,ARKANSAS EXTENDED CARE HOSPITAL-FORT SMITH,042008,35.3565026,-94.3531812,25.0,19.8,0.792,0.0,0.0,0.0
Arkansas Heart Hospital,"ARKANSAS HEART HOSPITAL, LLC",040134,34.7386221,-92.393486,90.5,87.2,0.96353591160221,23.0,19.8,0.8608695652173913
Arkansas Methodist Medical Center,ARKANSAS METHODIST MEDICAL CENTER,040039,36.0516946,-90.4985428,95.0,52.1,0.5484210526315789,10.0,9.3,0.93
Arkansas Surgical Hospital,ARKANSAS SURGICAL HOSPITAL,040147,34.8001818,-92.348361,41.0,22.6,0.551219512195122,0.0,0.0,0.0
